% Data generated on Wed Nov 18 22:17:50 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.08,-0.06,-0.38,-4.39,5.50,-2.84,1.41,-2.20,-0.28,NOT_EX
1.41,-2.20,-0.28,1.16,-1.40,0.35,-0.16,-0.01,0.01,NOT_EX
-0.16,-0.01,0.01,0.19,0.56,-0.32,-1.71,2.24,-1.46,NOT_EX
0.19,0.56,-0.32,-1.71,2.24,-1.46,4.28,0.85,-4.95,NOT_EX
-1.71,2.24,-1.46,4.28,0.85,-4.95,1.26,-0.57,0.70,NOT_EX
1.26,-0.57,0.70,0.42,0.03,0.11,0.21,-0.01,-0.11,NOT_EX
0.21,-0.01,-0.11,-0.10,1.19,-0.13,1.41,-1.78,-1.38,NOT_EX
-0.10,1.19,-0.13,1.41,-1.78,-1.38,0.91,-0.94,-0.47,NOT_EX
0.91,-0.94,-0.47,1.36,0.27,0.02,0.03,0.07,-0.24,NOT_EX
1.36,0.27,0.02,0.03,0.07,-0.24,-0.50,3.54,-0.20,NOT_EX
0.03,0.07,-0.24,-0.50,3.54,-0.20,1.28,-3.04,0.48,NOT_EX
1.28,-3.04,0.48,1.24,0.73,0.16,0.04,0.22,-0.16,NOT_EX
0.04,0.22,-0.16,-0.02,0.71,-0.05,0.31,-1.69,1.60,NOT_EX
-0.02,0.71,-0.05,0.31,-1.69,1.60,0.30,-1.48,-0.60,NOT_EX
0.30,-1.48,-0.60,1.58,0.73,0.18,0.07,0.24,-0.28,NOT_EX
1.58,0.73,0.18,0.07,0.24,-0.28,-2.58,5.56,-2.77,NOT_EX
-2.58,5.56,-2.77,1.71,-3.12,0.27,-0.32,1.42,0.01,NOT_EX
1.71,-3.12,0.27,-0.32,1.42,0.01,0.00,0.01,-0.12,NOT_EX
-0.32,1.42,0.01,0.00,0.01,-0.12,-0.77,5.68,-1.22,NOT_EX
-0.77,5.68,-1.22,1.84,-2.88,-0.69,-0.40,0.74,1.37,NOT_EX
1.84,-2.88,-0.69,-0.40,0.74,1.37,0.17,0.17,0.11,NOT_EX
0.17,0.17,0.11,0.06,0.12,-0.12,1.73,-0.60,-7.16,NOT_EX
0.06,0.12,-0.12,1.73,-0.60,-7.16,1.73,-0.07,-2.81,NOT_EX
1.73,-0.07,-2.81,1.81,0.11,0.26,-0.02,-0.01,-0.22,NOT_EX
1.81,0.11,0.26,-0.02,-0.01,-0.22,-0.86,4.89,-1.61,NOT_EX
-0.86,4.89,-1.61,1.80,-2.34,-1.34,1.44,1.20,0.52,NOT_EX
1.44,1.20,0.52,-0.12,-0.13,-0.29,-0.09,2.47,-0.29,NOT_EX
-0.12,-0.13,-0.29,-0.09,2.47,-0.29,1.07,-3.24,0.44,NOT_EX
1.07,-3.24,0.44,0.21,1.90,-0.62,-0.27,-0.19,-0.30,NOT_EX
0.21,1.90,-0.62,-0.27,-0.19,-0.30,-0.05,1.33,-0.13,NOT_EX
-0.05,1.33,-0.13,0.19,-2.87,1.72,0.80,-0.31,0.40,NOT_EX
0.19,-2.87,1.72,0.80,-0.31,0.40,0.31,0.23,-0.08,NOT_EX
0.31,0.23,-0.08,0.05,0.59,-0.30,0.41,-1.79,-2.40,NOT_EX
0.05,0.59,-0.30,0.41,-1.79,-2.40,1.12,-1.40,1.41,NOT_EX
1.12,-1.40,1.41,-0.37,-0.15,-0.23,0.05,0.11,-0.13,NOT_EX
-0.37,-0.15,-0.23,0.05,0.11,-0.13,-3.44,3.95,-3.01,NOT_EX
-3.44,3.95,-3.01,1.59,-1.66,0.25,1.16,-0.35,0.81,NOT_EX
1.59,-1.66,0.25,1.16,-0.35,0.81,0.21,0.09,0.01,NOT_EX
1.16,-0.35,0.81,0.21,0.09,0.01,-0.01,0.01,-0.24,NOT_EX
-0.01,0.01,-0.24,-0.40,-2.02,-5.76,-0.13,0.14,-0.90,NOT_EX
-0.40,-2.02,-5.76,-0.13,0.14,-0.90,0.07,0.01,0.08,NOT_EX
0.07,0.01,0.08,-0.01,0.00,-0.02,-0.08,-0.01,-0.04,NOT_EX
-0.08,-0.01,-0.04,-0.05,-0.00,-0.05,-0.01,-0.01,-0.01,NOT_EX
-0.05,-0.00,-0.05,-0.01,-0.01,-0.01,-0.01,-0.00,-0.02,NOT_EX
-0.01,-0.00,-0.02,-0.03,0.01,-0.03,0.02,0.00,0.00,NOT_EX
-0.03,0.01,-0.03,0.02,0.00,0.00,0.01,-0.01,-0.00,NOT_EX
0.47,0.25,-1.61,-4.37,2.33,1.95,0.30,-4.47,-1.90,EX_PEAK
0.23,0.74,-1.76,-2.22,4.54,1.74,-1.20,-3.20,0.57,EX_PEAK
-0.03,-0.12,-0.99,0.04,2.97,-1.32,-2.04,-2.31,2.93,EX_PEAK
0.19,-1.96,-3.30,-1.44,3.46,-1.88,-1.05,-1.27,1.50,EX_PEAK
-1.47,-0.37,-1.32,1.59,1.09,-1.25,-5.17,4.36,2.58,EX_PEAK
-0.25,-7.26,-1.69,0.62,4.32,-4.18,-2.81,1.94,2.08,EX_PEAK
0.82,-2.31,-0.74,1.98,3.23,-4.42,0.10,3.29,-0.02,EX_PEAK
1.16,1.12,-2.82,0.79,3.76,-1.00,-2.38,-0.63,3.13,EX_PEAK
-0.24,0.39,-3.78,-1.31,3.36,-2.34,-5.21,0.61,2.38,EX_PEAK
-0.92,-5.77,-1.66,0.16,0.44,-1.91,-0.68,1.92,0.75,EX_PEAK
-4.37,2.33,1.95,0.30,-4.47,-1.90,0.23,0.74,-1.76,EX_TROU
-2.22,4.54,1.74,-1.20,-3.20,0.57,-0.03,-0.12,-0.99,EX_TROU
-2.04,-2.31,2.93,0.19,-1.96,-3.30,-1.44,3.46,-1.88,EX_TROU
-1.44,3.46,-1.88,-1.05,-1.27,1.50,-1.47,-0.37,-1.32,EX_TROU
-5.17,4.36,2.58,-0.25,-7.26,-1.69,0.62,4.32,-4.18,EX_TROU
-2.81,1.94,2.08,0.82,-2.31,-0.74,1.98,3.23,-4.42,EX_TROU
0.10,3.29,-0.02,-1.33,-2.53,0.65,1.16,1.12,-2.82,EX_TROU
-2.38,-0.63,3.13,-0.24,0.39,-3.78,-1.31,3.36,-2.34,EX_TROU
-5.21,0.61,2.38,-0.92,-5.77,-1.66,0.16,0.44,-1.91,EX_TROU
-1.73,-3.01,2.37,-1.04,3.12,4.11,0.04,2.27,-0.86,EX_PEAK
-0.65,1.13,3.16,-0.22,3.35,-0.28,2.56,0.38,-2.38,EX_PEAK
-0.11,-0.23,2.70,0.09,2.53,0.19,2.31,1.22,-5.84,EX_PEAK
1.73,1.48,-0.36,0.69,0.99,-1.02,6.54,-0.78,-0.64,EX_PEAK
-0.45,0.48,1.71,3.07,-3.21,-2.17,-0.24,1.81,-3.15,EX_PEAK
-0.53,-1.19,2.77,0.74,3.86,1.36,0.72,1.15,-2.22,EX_PEAK
0.09,-0.77,2.13,1.93,-1.43,-0.04,-0.86,2.01,-0.34,EX_PEAK
-0.07,-0.74,2.24,0.84,1.03,-0.01,3.18,-0.81,-2.63,EX_PEAK
-3.05,3.20,5.78,0.17,2.42,-0.48,5.00,-2.34,-3.95,EX_PEAK
3.32,-2.16,-2.78,-1.73,-3.01,2.37,-1.04,3.12,4.11,EX_TROU
3.50,-3.38,-2.47,1.86,1.43,0.72,-0.65,1.13,3.16,EX_TROU
2.56,0.38,-2.38,0.89,-0.62,1.49,-0.11,-0.23,2.70,EX_TROU
2.31,1.22,-5.84,-1.28,-1.20,0.68,-0.72,-0.65,2.71,EX_TROU
6.54,-0.78,-0.64,1.63,-1.56,2.63,-0.45,0.48,1.71,EX_TROU
-0.24,1.81,-3.15,-2.71,-2.30,1.93,-0.53,-1.19,2.77,EX_TROU
0.72,1.15,-2.22,5.07,-0.47,-0.06,0.09,-0.77,2.13,EX_TROU
1.13,-1.12,1.04,2.28,-0.94,1.85,-0.07,-0.74,2.24,EX_TROU
3.18,-0.81,-2.63,-0.48,-1.52,2.70,-3.05,3.20,5.78,EX_TROU
5.00,-2.34,-3.95,-1.79,-0.10,1.27,-0.88,0.78,3.43,EX_TROU
-0.46,0.04,0.01,0.03,-0.04,-0.37,-0.59,-0.95,0.25,NOT_EX
0.03,-0.04,-0.37,-0.59,-0.95,0.25,0.86,1.27,-1.68,NOT_EX
0.86,1.27,-1.68,0.56,2.16,0.06,-1.93,-0.13,-0.21,NOT_EX
-1.93,-0.13,-0.21,-0.03,-0.34,-0.04,0.42,-5.49,0.45,NOT_EX
-0.03,-0.34,-0.04,0.42,-5.49,0.45,-0.55,3.35,0.18,NOT_EX
-0.55,3.35,0.18,1.17,-3.18,-0.54,-0.14,-0.11,-0.02,NOT_EX
1.17,-3.18,-0.54,-0.14,-0.11,-0.02,-0.48,-1.45,0.32,NOT_EX
-0.14,-0.11,-0.02,-0.48,-1.45,0.32,0.72,1.73,0.17,NOT_EX
0.72,1.73,0.17,0.07,1.04,1.16,3.24,1.22,1.06,NOT_EX
3.24,1.22,1.06,-0.42,-0.07,-0.16,-0.81,-0.55,-0.06,NOT_EX
-0.42,-0.07,-0.16,-0.81,-0.55,-0.06,-0.69,0.18,-4.29,NOT_EX
-0.69,0.18,-4.29,-0.57,-0.40,-1.45,-1.00,-0.40,-1.15,NOT_EX
-0.57,-0.40,-1.45,-1.00,-0.40,-1.15,0.05,0.60,0.10,NOT_EX
-1.00,-0.40,-1.15,0.05,0.60,0.10,0.02,-0.04,-0.46,NOT_EX
0.02,-0.04,-0.46,-0.11,-0.82,0.05,-0.04,1.12,-0.65,NOT_EX
-0.11,-0.82,0.05,-0.04,1.12,-0.65,0.49,2.35,0.50,NOT_EX
0.49,2.35,0.50,-0.77,0.24,-0.07,-0.14,-0.58,-0.08,NOT_EX
-0.14,-0.58,-0.08,-1.70,1.73,-2.19,0.90,2.13,2.45,NOT_EX
-1.70,1.73,-2.19,0.90,2.13,2.45,-0.73,0.03,0.11,NOT_EX
0.90,2.13,2.45,-0.73,0.03,0.11,-0.20,-0.44,-0.09,NOT_EX
-0.20,-0.44,-0.09,-1.60,-1.76,0.33,-0.41,2.16,0.05,NOT_EX
-0.41,2.16,0.05,3.46,-1.66,0.23,-0.20,-0.01,-0.04,NOT_EX
3.46,-1.66,0.23,-0.20,-0.01,-0.04,-1.00,-1.01,-0.67,NOT_EX
-0.20,-0.01,-0.04,-1.00,-1.01,-0.67,-1.58,0.05,-4.14,NOT_EX
-1.58,0.05,-4.14,3.29,1.37,-2.32,0.47,-0.00,0.01,NOT_EX
3.29,1.37,-2.32,0.47,-0.00,0.01,-1.52,0.23,-2.57,NOT_EX
-1.52,0.23,-2.57,-1.85,0.39,0.23,0.05,-0.07,-0.17,NOT_EX
-1.85,0.39,0.23,0.05,-0.07,-0.17,-0.38,-0.83,0.10,NOT_EX
-0.38,-0.83,0.10,-0.05,2.20,-2.99,0.21,1.98,0.75,NOT_EX
0.21,1.98,0.75,1.37,-0.04,0.28,-0.38,-1.20,0.36,NOT_EX
1.37,-0.04,0.28,-0.38,-1.20,0.36,-0.65,2.58,-3.27,NOT_EX
-0.65,2.58,-3.27,-1.26,1.54,3.80,0.98,-0.53,0.18,NOT_EX
-1.26,1.54,3.80,0.98,-0.53,0.18,-0.01,-0.97,-0.19,NOT_EX
0.98,-0.53,0.18,-0.01,-0.97,-0.19,-1.13,1.48,-2.80,NOT_EX
-1.13,1.48,-2.80,0.45,3.09,0.19,-2.30,1.33,-0.85,NOT_EX
-2.30,1.33,-0.85,-0.28,-0.63,-0.09,-2.59,1.14,-3.20,NOT_EX
-0.28,-0.63,-0.09,-2.59,1.14,-3.20,0.66,2.51,-0.07,NOT_EX
-2.59,1.14,-3.20,0.66,2.51,-0.07,-0.47,0.30,0.83,NOT_EX
-0.47,0.30,0.83,-0.38,-0.27,0.06,-0.74,-0.84,-0.33,NOT_EX
-0.74,-0.84,-0.33,-2.36,1.16,-3.88,-1.04,0.72,0.33,NOT_EX
-2.36,1.16,-3.88,-1.04,0.72,0.33,-0.45,-0.13,0.12,NOT_EX
-0.45,-0.13,0.12,0.02,-0.47,-0.14,-4.24,0.10,-1.26,NOT_EX
0.02,-0.47,-0.14,-4.24,0.10,-1.26,0.92,0.84,0.25,NOT_EX
0.92,0.84,0.25,1.65,0.65,0.47,-0.28,-0.18,-0.04,NOT_EX
1.65,0.65,0.47,-0.28,-0.18,-0.04,-0.04,-2.73,0.18,NOT_EX
-0.28,-0.18,-0.04,-0.04,-2.73,0.18,0.21,3.66,0.39,NOT_EX
0.21,3.66,0.39,-1.69,-2.85,0.00,-0.31,-0.13,0.02,NOT_EX
-1.69,-2.85,0.00,-0.31,-0.13,0.02,-0.36,-1.08,0.33,NOT_EX
-0.36,-1.08,0.33,4.08,1.76,-0.46,3.15,2.09,0.26,NOT_EX
4.08,1.76,-0.46,3.15,2.09,0.26,-0.61,-1.08,-0.75,NOT_EX
-0.61,-1.08,-0.75,-0.22,-0.38,-0.34,-0.93,0.15,-2.48,NOT_EX
-0.93,0.15,-2.48,-0.90,3.40,-0.25,-0.70,-2.82,-0.58,NOT_EX
-0.90,3.40,-0.25,-0.70,-2.82,-0.58,-0.26,-0.93,-0.13,NOT_EX
-0.70,-2.82,-0.58,-0.26,-0.93,-0.13,0.85,2.77,-4.01,NOT_EX
0.85,2.77,-4.01,0.63,3.06,-0.19,-0.98,-4.04,-0.28,NOT_EX
-0.98,-4.04,-0.28,-0.16,-0.08,-0.25,-0.24,-1.85,-0.46,NOT_EX
-0.16,-0.08,-0.25,-0.24,-1.85,-0.46,-5.00,0.77,-1.84,NOT_EX
1.37,-1.66,0.86,-1.30,2.97,-0.34,0.66,-4.13,-0.79,EX_PEAK
0.66,-4.13,-0.79,2.47,4.84,2.20,-0.78,-4.38,-3.65,EX_PEAK
-0.78,-4.38,-3.65,1.86,2.77,3.98,0.66,-2.45,-3.18,EX_PEAK
1.33,0.22,1.73,0.99,4.21,-1.00,0.68,-4.33,-0.08,EX_PEAK
0.68,-4.33,-0.08,0.36,2.05,1.35,0.04,-1.25,-3.46,EX_PEAK
2.11,-0.01,3.27,1.91,2.04,-2.26,1.37,-3.54,-0.68,EX_PEAK
3.08,3.75,3.36,-2.23,0.43,-4.73,1.68,-2.17,-0.12,EX_PEAK
1.68,-2.17,-0.12,1.60,1.64,0.07,-0.29,-0.95,-3.53,EX_PEAK
2.14,-2.33,1.46,0.07,0.72,-1.56,-0.17,-2.86,-2.32,EX_PEAK
1.53,0.07,1.42,0.94,2.06,-2.20,-1.46,-3.89,-3.60,EX_PEAK
1.67,0.74,2.47,-0.89,6.32,-1.49,-0.67,-2.45,-2.66,EX_PEAK
-0.84,2.62,-2.81,1.37,-1.66,0.86,-1.30,2.97,-0.34,EX_TROU
-1.30,2.97,-0.34,0.66,-4.13,-0.79,2.47,4.84,2.20,EX_TROU
2.47,4.84,2.20,-0.78,-4.38,-3.65,1.86,2.77,3.98,EX_TROU
1.86,2.77,3.98,0.66,-2.45,-3.18,1.33,0.22,1.73,EX_TROU
0.99,4.21,-1.00,0.68,-4.33,-0.08,0.36,2.05,1.35,EX_TROU
0.36,2.05,1.35,0.04,-1.25,-3.46,2.11,-0.01,3.27,EX_TROU
1.91,2.04,-2.26,1.37,-3.54,-0.68,3.08,3.75,3.36,EX_TROU
-2.23,0.43,-4.73,1.68,-2.17,-0.12,1.60,1.64,0.07,EX_TROU
-0.29,-0.95,-3.53,2.14,-2.33,1.46,0.07,0.72,-1.56,EX_TROU
0.07,0.72,-1.56,-0.17,-2.86,-2.32,1.53,0.07,1.42,EX_TROU
0.94,2.06,-2.20,-1.46,-3.89,-3.60,1.67,0.74,2.47,EX_TROU
0.24,-2.83,0.28,-3.40,2.02,-3.04,-1.02,1.26,2.91,EX_PEAK
-1.98,-2.83,-1.34,-0.22,5.12,-2.22,1.85,-2.96,2.86,EX_PEAK
-2.17,-1.81,-1.61,-0.22,2.72,2.73,1.78,0.29,4.88,EX_PEAK
-1.36,-2.15,-0.76,-1.38,1.31,-2.96,0.11,0.14,4.62,EX_PEAK
-1.11,0.48,-2.46,-0.78,1.91,1.05,-0.51,-3.76,1.73,EX_PEAK
-1.41,-0.38,-1.88,0.96,3.30,1.22,0.52,-1.89,2.34,EX_PEAK
-0.46,-1.79,-0.84,-0.61,1.86,1.52,0.14,1.19,3.31,EX_PEAK
-2.08,-2.79,-0.51,-2.84,2.31,-3.80,-1.34,2.11,2.65,EX_PEAK
-2.97,1.11,-4.21,0.29,1.77,1.45,0.79,-3.16,2.22,EX_PEAK
-1.43,-0.62,-2.23,1.13,2.21,1.11,1.85,-1.61,3.60,EX_PEAK
-0.12,3.08,1.72,0.24,-2.83,0.28,-3.40,2.02,-3.04,EX_TROU
-1.02,1.26,2.91,-1.98,-2.83,-1.34,-0.22,5.12,-2.22,EX_TROU
-0.22,5.12,-2.22,1.85,-2.96,2.86,-2.17,-1.81,-1.61,EX_TROU
1.78,0.29,4.88,-1.36,-2.15,-0.76,-1.38,1.31,-2.96,EX_TROU
0.11,0.14,4.62,-3.08,-1.83,-0.85,-1.11,0.48,-2.46,EX_TROU
-0.78,1.91,1.05,-0.51,-3.76,1.73,-1.41,-0.38,-1.88,EX_TROU
0.52,-1.89,2.34,-0.46,-1.79,-0.84,-0.61,1.86,1.52,EX_TROU
0.14,1.19,3.31,-2.08,-2.79,-0.51,-2.84,2.31,-3.80,EX_TROU
-1.34,2.11,2.65,-2.61,-3.74,0.32,-2.97,1.11,-4.21,EX_TROU
0.29,1.77,1.45,0.79,-3.16,2.22,-1.43,-0.62,-2.23,EX_TROU
-0.98,0.24,-0.83,-0.35,1.70,-0.44,0.71,-2.31,1.56,NOT_EX
-0.35,1.70,-0.44,0.71,-2.31,1.56,-0.50,-0.23,-1.11,NOT_EX
-0.50,-0.23,-1.11,0.12,0.06,-0.01,-0.77,3.45,-0.42,NOT_EX
0.12,0.06,-0.01,-0.77,3.45,-0.42,0.73,-3.28,2.07,NOT_EX
0.73,-3.28,2.07,1.00,0.51,0.29,-0.21,0.03,-0.28,NOT_EX
1.00,0.51,0.29,-0.21,0.03,-0.28,-0.12,1.14,-0.56,NOT_EX
-0.12,1.14,-0.56,0.94,-3.43,-0.77,0.66,-0.57,-0.60,NOT_EX
0.66,-0.57,-0.60,-0.37,-0.01,-0.35,-0.11,0.90,-0.17,NOT_EX
-0.37,-0.01,-0.35,-0.11,0.90,-0.17,2.51,-1.91,0.12,NOT_EX
2.51,-1.91,0.12,1.95,0.09,-0.34,0.48,-0.29,0.03,NOT_EX
1.95,0.09,-0.34,0.48,-0.29,0.03,0.25,0.01,-0.17,NOT_EX
0.25,0.01,-0.17,4.54,-1.87,-1.06,1.40,-0.68,-2.08,NOT_EX
4.54,-1.87,-1.06,1.40,-0.68,-2.08,0.40,-0.05,0.09,NOT_EX
0.40,-0.05,0.09,-0.10,-0.06,-0.43,0.21,6.05,-1.83,NOT_EX
-0.10,-0.06,-0.43,0.21,6.05,-1.83,0.14,-2.72,2.36,NOT_EX
0.21,6.05,-1.83,0.14,-2.72,2.36,-0.39,0.72,-1.19,NOT_EX
-0.39,0.72,-1.19,0.05,0.41,-0.48,-0.49,-3.27,-0.95,NOT_EX
0.05,0.41,-0.48,-0.49,-3.27,-0.95,-1.05,-2.29,2.23,NOT_EX
-1.05,-2.29,2.23,-0.01,0.61,1.73,0.28,0.63,-0.30,NOT_EX
-0.01,0.61,1.73,0.28,0.63,-0.30,1.28,-2.06,-1.42,NOT_EX
1.28,-2.06,-1.42,0.74,-2.36,0.63,-0.82,0.97,-0.09,NOT_EX
-0.82,0.97,-0.09,0.17,0.49,-0.28,0.19,1.89,-3.39,NOT_EX
0.17,0.49,-0.28,0.19,1.89,-3.39,0.51,-2.33,1.21,NOT_EX
0.19,1.89,-3.39,0.51,-2.33,1.21,-1.23,-2.41,-0.37,NOT_EX
-1.23,-2.41,-0.37,0.11,0.02,0.01,0.63,0.17,-0.23,NOT_EX
0.63,0.17,-0.23,2.05,0.19,-2.71,0.40,-0.38,-0.82,NOT_EX
