% Data generated on Wed Nov 18 22:18:18 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
1.98,-1.82,0.08,0.55,-1.03,-0.04,3.73,0.64,2.81,2.10,0.92,1.29,-1.36,1.25,-0.68,-1.57,1.38,-1.36,1.26,1.72,-0.05,-0.18,0.36,-1.08,EX_PEAK
-0.83,0.60,-0.62,-0.06,-0.90,-0.80,0.12,1.28,-1.37,-1.21,0.72,-2.73,-1.16,-1.73,-1.88,0.74,-1.55,-1.38,0.39,-1.38,-0.23,1.64,-1.56,0.99,EX_TROU
-0.66,3.46,0.45,-0.27,1.41,-1.18,-0.10,0.02,-0.76,-1.10,0.68,-3.28,1.53,-0.76,-2.35,1.24,-2.01,-1.08,0.24,-1.37,-0.83,0.75,-0.92,-0.03,EX_TROU
-0.75,5.37,0.18,-1.58,2.06,-2.07,-0.85,0.61,-1.60,-0.34,0.08,-2.03,-0.15,-0.30,-2.23,-0.69,-1.44,-1.53,0.15,-1.89,-0.92,0.51,-1.20,-0.58,EX_TROU
0.12,1.56,-0.42,0.08,0.19,-1.29,0.19,-0.01,-1.92,-0.32,-1.74,-1.52,-0.32,-2.17,-1.37,0.11,-0.81,-0.51,3.42,-0.21,3.12,2.46,0.65,2.39,EX_TROU
-1.44,1.39,-1.56,1.10,0.75,-0.14,-0.19,0.60,-0.81,0.11,0.20,-1.90,-0.02,-1.21,-1.41,0.09,-1.45,-1.15,-0.06,-0.93,-0.85,3.51,-1.16,2.09,EX_TROU
0.41,0.73,-0.63,-0.06,0.22,-1.02,0.12,0.28,-1.56,0.70,-0.65,-1.69,0.05,-1.11,-0.85,0.19,-1.58,-0.64,2.14,-0.90,1.25,2.30,0.25,2.98,EX_TROU
0.75,1.48,0.45,-0.58,0.63,-0.90,-0.86,0.26,-2.11,0.18,-0.51,-1.47,0.59,-0.98,-0.95,0.35,-1.26,-0.30,1.42,-0.95,1.55,1.92,1.24,2.98,EX_TROU
0.62,1.80,-0.26,-0.62,-0.10,-0.77,-0.64,0.14,-1.35,-0.28,-0.98,-1.16,0.13,-0.44,-1.09,0.48,-1.03,-0.22,2.16,-0.70,0.63,3.17,-0.52,2.72,EX_TROU
0.99,1.26,0.84,-0.14,0.83,-0.60,-1.04,0.50,-1.52,-1.26,0.57,-1.64,-0.12,-1.97,-1.17,0.57,-1.82,-0.74,2.29,-1.34,0.73,1.61,-0.83,1.32,EX_TROU
-0.55,0.38,-1.16,-1.24,0.19,-1.86,0.02,-0.47,-2.26,-1.24,-2.02,-1.25,-0.20,-1.64,-1.05,1.98,-1.82,0.08,0.55,-1.03,-0.04,3.73,0.64,2.81,EX_TROU
-0.41,-1.11,-0.08,-0.48,-0.70,-0.67,-1.40,-0.34,-1.89,-1.69,2.03,-1.38,-1.58,2.70,-1.45,-0.00,2.35,-0.01,1.11,1.18,1.07,-0.91,0.75,0.15,EX_PEAK
-0.08,-1.21,-0.36,-0.33,-0.97,-0.42,-1.06,-0.45,-1.60,-1.84,1.47,-2.35,-2.67,2.29,-1.13,0.36,1.88,0.33,-0.10,1.04,0.16,-0.19,1.25,1.39,EX_PEAK
-0.36,-0.97,-0.46,-0.37,-0.89,-1.20,-0.64,-0.41,-1.43,-0.63,0.33,-1.06,-1.36,1.32,-1.57,-0.79,1.61,-0.15,0.80,2.01,1.17,0.52,0.60,1.00,EX_PEAK
-0.44,-0.72,-0.59,-0.97,-0.74,-1.32,-0.67,-0.55,-2.05,-0.31,-0.45,-0.93,-1.07,2.20,-1.83,-1.43,2.18,-0.96,-1.16,0.68,-0.14,0.72,1.12,1.06,EX_PEAK
-0.69,-0.99,-0.42,-0.91,0.03,-1.48,-0.54,-0.24,-1.19,-0.54,0.26,-1.72,-0.33,-1.38,-0.24,-0.12,-0.49,-0.05,-0.77,0.56,0.12,-0.10,1.01,1.01,EX_PEAK
-0.14,-1.82,-0.53,-0.85,-0.54,-1.50,-1.47,0.76,-1.52,-0.82,-1.49,-0.78,-1.02,0.91,-0.93,-0.52,0.42,-0.06,0.24,0.70,0.85,0.71,1.77,2.09,EX_PEAK
-0.24,-1.42,-0.39,-0.63,-1.15,-1.25,-0.56,-0.62,-0.79,-1.27,-0.39,-1.38,-0.16,0.38,-1.31,-0.83,0.23,-0.03,0.12,0.64,0.85,0.14,1.02,1.62,EX_PEAK
-0.26,-1.35,-0.27,-0.77,-0.78,-0.89,-0.21,-0.80,-0.81,-0.72,-0.00,-1.90,-0.48,-0.11,-1.34,-0.19,1.41,-0.30,-0.49,1.98,0.41,-0.29,1.27,1.53,EX_PEAK
-1.41,-1.07,-0.48,-0.39,-0.75,-1.00,-0.76,-0.02,-1.58,-1.66,1.76,-1.74,-2.30,1.46,-0.97,-0.47,1.92,0.37,0.96,2.19,1.96,-0.07,1.12,1.28,EX_PEAK
-0.24,0.48,0.69,-1.67,0.74,1.35,-0.48,-0.22,1.15,-0.62,-1.25,0.54,0.05,-1.16,0.27,-0.41,-1.11,-0.08,-0.48,-0.70,-0.67,-1.40,-0.34,-1.89,EX_TROU
-0.91,0.75,0.15,-0.19,0.98,1.03,-0.12,0.39,1.58,0.30,0.27,1.84,-0.22,-0.57,0.61,0.88,-1.49,0.76,-0.08,-1.21,-0.36,-0.33,-0.97,-0.42,EX_TROU
-0.19,1.25,1.39,0.67,0.29,1.27,0.38,0.24,1.67,0.34,-0.45,0.82,-1.53,-0.29,0.47,0.31,-1.35,0.72,-0.30,-0.95,0.19,-0.36,-0.97,-0.46,EX_TROU
-0.16,0.19,0.58,0.34,-0.51,1.23,-0.43,-0.29,1.04,-0.24,-0.98,0.82,1.46,-2.34,1.00,0.20,-1.27,0.00,-0.44,-0.72,-0.59,-0.97,-0.74,-1.32,EX_TROU
0.31,0.72,0.77,-0.20,0.29,0.62,1.15,-0.58,1.65,1.25,-0.99,1.96,0.71,-2.17,1.33,-0.42,-1.23,-0.02,-0.37,-1.23,-0.17,-0.69,-0.99,-0.42,EX_TROU
-0.12,0.61,0.80,0.18,-0.01,1.08,1.44,-0.84,1.79,0.52,-1.69,1.57,-0.74,-1.25,0.68,-0.39,-1.83,0.00,-0.14,-1.82,-0.53,-0.85,-0.54,-1.50,EX_TROU
0.13,0.63,0.77,-0.10,0.21,0.64,1.52,-1.08,1.95,0.55,-0.26,1.06,0.01,-0.60,0.79,0.40,-1.51,0.20,-0.24,-1.42,-0.39,-0.63,-1.15,-1.25,EX_TROU
0.51,0.21,0.50,-0.01,0.04,0.75,0.69,-0.62,1.52,1.05,-0.43,1.28,-0.21,-0.51,0.43,-0.80,-1.38,-0.02,-0.26,-1.35,-0.27,-0.77,-0.78,-0.89,EX_TROU
0.55,0.10,0.29,-0.13,0.24,1.33,0.79,-0.19,2.26,0.64,-1.54,1.05,-1.52,-1.21,-0.54,-1.41,-1.07,-0.48,-0.39,-0.75,-1.00,-0.76,-0.02,-1.58,EX_TROU
0.06,-0.02,0.00,0.04,-0.01,0.01,-0.02,-0.00,-0.04,-0.01,0.00,-0.02,-0.01,0.00,-0.02,0.01,-0.00,0.00,0.02,-0.01,-0.01,0.00,-0.04,-0.00,NOT_EX
-0.01,0.00,-0.02,0.01,-0.00,0.00,0.02,-0.01,-0.01,0.00,-0.04,-0.00,0.00,-0.01,-0.01,-0.00,-0.00,-0.00,0.01,0.01,-0.03,-0.00,-0.01,-0.01,NOT_EX
0.00,-0.01,-0.01,-0.00,-0.00,-0.00,0.01,0.01,-0.03,-0.00,-0.01,-0.01,0.00,-0.01,0.00,-0.02,-0.01,-0.02,-0.01,-0.01,0.00,0.01,0.08,0.03,NOT_EX
0.00,-0.01,0.00,-0.02,-0.01,-0.02,-0.01,-0.01,0.00,0.01,0.08,0.03,0.12,0.07,-1.03,0.29,-0.65,0.08,-0.03,-0.10,0.14,0.14,-0.28,0.56,NOT_EX
0.12,0.07,-1.03,0.29,-0.65,0.08,-0.03,-0.10,0.14,0.14,-0.28,0.56,0.12,-0.27,0.01,1.18,0.35,-0.02,-0.49,-0.10,-0.40,0.06,-0.01,0.09,NOT_EX
0.12,-0.27,0.01,1.18,0.35,-0.02,-0.49,-0.10,-0.40,0.06,-0.01,0.09,0.17,0.04,-0.03,-0.04,-0.00,-0.18,0.15,0.42,-0.01,-0.07,1.38,-0.05,NOT_EX
0.17,0.04,-0.03,-0.04,-0.00,-0.18,0.15,0.42,-0.01,-0.07,1.38,-0.05,-1.44,4.17,-0.51,-2.81,2.81,-1.20,0.61,-3.14,0.86,1.92,-2.66,-0.16,NOT_EX
-1.44,4.17,-0.51,-2.81,2.81,-1.20,0.61,-3.14,0.86,1.92,-2.66,-0.16,0.86,-2.20,1.49,-0.54,-0.28,1.50,0.10,1.86,1.48,0.39,0.18,0.12,NOT_EX
0.86,-2.20,1.49,-0.54,-0.28,1.50,0.10,1.86,1.48,0.39,0.18,0.12,0.83,0.02,-0.22,-0.39,-0.08,-0.17,-0.02,0.22,-0.18,0.02,1.61,-0.02,NOT_EX
0.83,0.02,-0.22,-0.39,-0.08,-0.17,-0.02,0.22,-0.18,0.02,1.61,-0.02,-1.61,4.82,-0.89,-0.90,0.11,-2.21,0.06,-2.60,1.11,0.66,-2.53,1.11,NOT_EX
-1.61,4.82,-0.89,-0.90,0.11,-2.21,0.06,-2.60,1.11,0.66,-2.53,1.11,0.81,-1.62,0.59,-0.57,-0.41,0.52,3.38,0.70,0.13,0.27,0.15,0.31,NOT_EX
0.81,-1.62,0.59,-0.57,-0.41,0.52,3.38,0.70,0.13,0.27,0.15,0.31,-0.04,-0.16,-0.32,-0.20,-0.05,-0.14,0.10,0.20,-0.01,0.14,0.90,-0.07,NOT_EX
-0.04,-0.16,-0.32,-0.20,-0.05,-0.14,0.10,0.20,-0.01,0.14,0.90,-0.07,-0.81,3.12,0.15,-0.77,5.08,-0.24,1.25,-2.76,-2.47,1.45,-3.12,-0.30,NOT_EX
-0.81,3.12,0.15,-0.77,5.08,-0.24,1.25,-2.76,-2.47,1.45,-3.12,-0.30,1.88,-2.36,0.25,-0.02,-0.38,1.14,1.40,2.65,0.25,1.64,0.18,0.18,NOT_EX
1.88,-2.36,0.25,-0.02,-0.38,1.14,1.40,2.65,0.25,1.64,0.18,0.18,0.11,0.05,-0.06,-0.15,-0.06,-0.17,0.10,0.54,-0.12,0.06,1.54,-0.14,NOT_EX
0.11,0.05,-0.06,-0.15,-0.06,-0.17,0.10,0.54,-0.12,0.06,1.54,-0.14,-3.69,5.49,-1.25,0.99,-0.68,-2.24,1.15,-3.75,0.98,1.35,-2.23,0.61,NOT_EX
-3.69,5.49,-1.25,0.99,-0.68,-2.24,1.15,-3.75,0.98,1.35,-2.23,0.61,1.31,-1.77,1.41,-0.02,0.46,-0.15,-1.75,0.73,-0.69,-0.29,-0.00,0.07,NOT_EX
1.31,-1.77,1.41,-0.02,0.46,-0.15,-1.75,0.73,-0.69,-0.29,-0.00,0.07,0.07,0.03,0.00,0.16,0.13,0.02,0.42,0.45,-0.24,0.14,0.87,-0.32,NOT_EX
0.07,0.03,0.00,0.16,0.13,0.02,0.42,0.45,-0.24,0.14,0.87,-0.32,0.53,2.07,-0.28,0.36,-1.21,-3.00,2.66,-0.87,-5.32,1.84,-0.10,-3.89,NOT_EX
0.53,2.07,-0.28,0.36,-1.21,-3.00,2.66,-0.87,-5.32,1.84,-0.10,-3.89,1.42,-0.33,-2.66,1.40,-0.48,-1.86,0.24,0.72,0.21,2.71,-0.09,0.43,NOT_EX
1.42,-0.33,-2.66,1.40,-0.48,-1.86,0.24,0.72,0.21,2.71,-0.09,0.43,0.56,0.06,0.11,0.14,-0.04,-0.18,0.08,-0.02,-0.16,0.05,0.04,-0.13,NOT_EX
0.56,0.06,0.11,0.14,-0.04,-0.18,0.08,-0.02,-0.16,0.05,0.04,-0.13,0.36,0.44,-0.06,0.06,1.67,0.07,-0.73,4.39,-0.92,0.82,-1.28,-3.86,NOT_EX
0.36,0.44,-0.06,0.06,1.67,0.07,-0.73,4.39,-0.92,0.82,-1.28,-3.86,0.81,-2.84,0.13,1.38,-1.53,0.27,1.19,-0.52,0.73,1.80,0.14,-0.25,NOT_EX
0.81,-2.84,0.13,1.38,-1.53,0.27,1.19,-0.52,0.73,1.80,0.14,-0.25,-0.06,0.20,-0.28,-0.39,0.42,-0.09,-0.11,-0.08,-0.27,-0.03,-0.01,-0.22,NOT_EX
-0.06,0.20,-0.28,-0.39,0.42,-0.09,-0.11,-0.08,-0.27,-0.03,-0.01,-0.22,0.27,1.04,-0.13,-0.63,4.43,-0.10,-1.29,-1.09,-0.94,0.32,-2.58,-0.14,NOT_EX
0.27,1.04,-0.13,-0.63,4.43,-0.10,-1.29,-1.09,-0.94,0.32,-2.58,-0.14,0.80,-2.90,0.00,0.81,-1.93,1.20,-0.07,0.07,1.48,1.39,0.43,-0.41,NOT_EX
0.80,-2.90,0.00,0.81,-1.93,1.20,-0.07,0.07,1.48,1.39,0.43,-0.41,1.52,0.91,-0.15,0.63,0.06,-0.13,0.23,0.02,-0.08,0.06,0.03,-0.18,NOT_EX
1.52,0.91,-0.15,0.63,0.06,-0.13,0.23,0.02,-0.08,0.06,0.03,-0.18,-0.02,0.26,-0.17,-0.09,2.26,-0.23,-0.76,0.98,1.13,0.44,-1.45,-0.84,NOT_EX
-0.02,0.26,-0.17,-0.09,2.26,-0.23,-0.76,0.98,1.13,0.44,-1.45,-0.84,0.26,-2.41,-0.45,0.19,-1.95,-0.00,0.12,-0.64,-0.06,0.03,-0.16,-0.02,NOT_EX
0.26,-2.41,-0.45,0.19,-1.95,-0.00,0.12,-0.64,-0.06,0.03,-0.16,-0.02,-0.73,3.97,-1.02,-0.95,0.21,-0.02,1.05,0.28,-0.21,0.36,0.08,-0.06,NOT_EX
-0.73,3.97,-1.02,-0.95,0.21,-0.02,1.05,0.28,-0.21,0.36,0.08,-0.06,0.08,-0.06,-0.38,0.09,0.52,-0.20,-0.18,2.89,-0.16,0.36,-1.12,-2.51,NOT_EX
0.08,-0.06,-0.38,0.09,0.52,-0.20,-0.18,2.89,-0.16,0.36,-1.12,-2.51,1.71,-2.44,-1.04,1.66,-3.11,-0.26,0.78,-1.40,1.11,0.99,-0.13,-0.90,NOT_EX
1.71,-2.44,-1.04,1.66,-3.11,-0.26,0.78,-1.40,1.11,0.99,-0.13,-0.90,1.16,-1.40,0.35,-0.29,0.47,-0.15,-0.28,0.07,0.07,0.24,0.07,0.03,NOT_EX
1.16,-1.40,0.35,-0.29,0.47,-0.15,-0.28,0.07,0.07,0.24,0.07,0.03,0.24,0.18,-0.03,0.29,0.35,-0.16,0.03,0.94,-0.13,-0.30,1.92,-0.23,NOT_EX
0.24,0.18,-0.03,0.29,0.35,-0.16,0.03,0.94,-0.13,-0.30,1.92,-0.23,-1.71,2.24,-1.46,3.22,-0.75,-4.61,4.17,0.53,-5.02,2.91,0.18,-3.94,NOT_EX
-1.71,2.24,-1.46,3.22,-0.75,-4.61,4.17,0.53,-5.02,2.91,0.18,-3.94,1.92,-0.62,-1.64,1.62,0.50,0.30,-0.78,0.09,0.21,0.88,-0.13,0.32,NOT_EX
1.92,-0.62,-1.64,1.62,0.50,0.30,-0.78,0.09,0.21,0.88,-0.13,0.32,1.03,0.19,0.09,0.68,0.11,0.02,0.17,-0.06,-0.14,0.07,-0.05,-0.19,NOT_EX
1.03,0.19,0.09,0.68,0.11,0.02,0.17,-0.06,-0.14,0.07,-0.05,-0.19,0.11,0.06,-0.12,0.04,0.63,-0.20,-0.33,2.62,-0.14,-0.03,-0.08,-1.58,NOT_EX
0.11,0.06,-0.12,0.04,0.63,-0.20,-0.33,2.62,-0.14,-0.03,-0.08,-1.58,1.41,-1.78,-1.38,1.35,-1.87,-0.58,0.54,-1.25,0.40,0.80,-0.66,-0.27,NOT_EX
1.41,-1.78,-1.38,1.35,-1.87,-0.58,0.54,-1.25,0.40,0.80,-0.66,-0.27,-0.64,0.27,0.96,-1.80,0.42,0.22,-0.78,0.46,-0.06,0.25,0.33,-0.28,NOT_EX
-0.64,0.27,0.96,-1.80,0.42,0.22,-0.78,0.46,-0.06,0.25,0.33,-0.28,0.03,0.07,-0.24,-0.11,0.44,-0.40,-0.04,1.31,0.03,-2.92,4.00,-1.55,NOT_EX
0.03,0.07,-0.24,-0.11,0.44,-0.40,-0.04,1.31,0.03,-2.92,4.00,-1.55,0.68,-1.71,-1.95,1.05,-3.44,0.98,1.13,-2.15,1.60,-0.24,-0.85,3.01,NOT_EX
0.68,-1.71,-1.95,1.05,-3.44,0.98,1.13,-2.15,1.60,-0.24,-0.85,3.01,1.24,0.73,0.16,-0.15,0.50,0.01,-0.02,0.62,-0.19,0.03,-0.02,-0.08,NOT_EX
1.24,0.73,0.16,-0.15,0.50,0.01,-0.02,0.62,-0.19,0.03,-0.02,-0.08,-0.21,-0.05,-0.23,-0.06,0.12,-0.16,-0.14,1.38,-0.29,-5.71,2.65,-2.84,NOT_EX
-0.21,-0.05,-0.23,-0.06,0.12,-0.16,-0.14,1.38,-0.29,-5.71,2.65,-2.84,0.31,-1.69,1.60,0.98,-2.92,-0.34,0.38,-2.27,-1.46,0.58,-0.79,-0.17,NOT_EX
0.31,-1.69,1.60,0.98,-2.92,-0.34,0.38,-2.27,-1.46,0.58,-0.79,-0.17,-0.29,0.62,-0.20,1.42,0.63,0.25,0.31,0.08,0.08,-0.20,0.32,-0.15,NOT_EX
-0.29,0.62,-0.20,1.42,0.63,0.25,0.31,0.08,0.08,-0.20,0.32,-0.15,0.07,0.24,-0.28,-0.05,0.47,-0.51,-0.16,2.53,-0.12,-3.22,4.24,-1.79,NOT_EX
0.07,0.24,-0.28,-0.05,0.47,-0.51,-0.16,2.53,-0.12,-3.22,4.24,-1.79,-0.58,-0.26,-2.58,1.57,-3.51,0.17,1.61,-1.90,0.86,0.13,0.00,1.48,NOT_EX
-0.58,-0.26,-2.58,1.57,-3.51,0.17,1.61,-1.90,0.86,0.13,0.00,1.48,-0.32,1.42,0.01,0.20,0.24,-0.12,0.04,0.01,-0.33,0.04,0.16,-0.05,NOT_EX
-0.32,1.42,0.01,0.20,0.24,-0.12,0.04,0.01,-0.33,0.04,0.16,-0.05,-0.09,0.56,-0.21,-0.64,3.25,-0.03,0.77,-0.42,-0.91,0.84,-2.69,-0.77,NOT_EX
-0.09,0.56,-0.21,-0.64,3.25,-0.03,0.77,-0.42,-0.91,0.84,-2.69,-0.77,1.89,-2.76,-0.71,0.55,-0.41,-0.36,-1.73,-0.04,-0.57,-0.01,-1.02,-0.26,NOT_EX
1.89,-2.76,-0.71,0.55,-0.41,-0.36,-1.73,-0.04,-0.57,-0.01,-1.02,-0.26,-0.17,-0.06,-0.07,0.17,0.14,0.13,0.11,-0.01,-0.08,0.22,0.02,-0.13,NOT_EX
-0.17,-0.06,-0.07,0.17,0.14,0.13,0.11,-0.01,-0.08,0.22,0.02,-0.13,0.06,0.12,-0.12,-0.06,0.56,-0.75,0.20,-0.20,-1.79,2.53,-0.03,-5.46,NOT_EX
0.06,0.12,-0.12,-0.06,0.56,-0.75,0.20,-0.20,-1.79,2.53,-0.03,-5.46,1.61,-0.34,-3.65,0.86,-0.14,-3.12,0.13,1.11,-2.05,-5.72,0.96,1.98,NOT_EX
1.61,-0.34,-3.65,0.86,-0.14,-3.12,0.13,1.11,-2.05,-5.72,0.96,1.98,1.81,0.11,0.26,0.49,0.10,0.06,0.19,-0.03,-0.13,0.14,0.21,-0.10,NOT_EX
1.81,0.11,0.26,0.49,0.10,0.06,0.19,-0.03,-0.13,0.14,0.21,-0.10,0.23,1.00,0.18,-0.37,2.59,0.15,1.28,0.10,-1.67,1.46,-2.79,-0.83,NOT_EX
0.23,1.00,0.18,-0.37,2.59,0.15,1.28,0.10,-1.67,1.46,-2.79,-0.83,1.78,-2.20,-1.35,0.77,-1.29,0.65,-0.22,0.87,1.20,-0.50,1.65,2.15,NOT_EX
1.78,-2.20,-1.35,0.77,-1.29,0.65,-0.22,0.87,1.20,-0.50,1.65,2.15,-0.10,0.76,-0.44,-0.11,-0.13,-0.28,-0.05,-0.05,-0.22,0.23,0.25,-0.07,NOT_EX
-0.10,0.76,-0.44,-0.11,-0.13,-0.28,-0.05,-0.05,-0.22,0.23,0.25,-0.07,-0.09,2.47,-0.29,-0.15,2.84,-0.21,0.71,-2.30,-0.74,1.85,-3.15,0.40,NOT_EX
-0.09,2.47,-0.29,-0.15,2.84,-0.21,0.71,-2.30,-0.74,1.85,-3.15,0.40,1.54,-1.55,2.51,-0.45,3.20,0.71,0.65,1.23,-0.59,-0.24,-0.11,-0.51,NOT_EX
1.54,-1.55,2.51,-0.45,3.20,0.71,0.65,1.23,-0.59,-0.24,-0.11,-0.51,-0.27,-0.19,-0.30,-0.08,0.04,-0.08,0.19,0.56,0.12,-0.93,3.06,-0.58,NOT_EX
-0.27,-0.19,-0.30,-0.08,0.04,-0.08,0.19,0.56,0.12,-0.93,3.06,-0.58,-4.69,0.13,-0.90,0.16,-2.77,2.12,0.60,-2.59,0.22,0.25,-1.59,-1.12,NOT_EX
-4.69,0.13,-0.90,0.16,-2.77,2.12,0.60,-2.59,0.22,0.25,-1.59,-1.12,0.80,-0.31,0.40,2.67,-0.09,0.93,-1.75,0.77,-0.62,-0.20,0.02,-0.18,NOT_EX
0.80,-0.31,0.40,2.67,-0.09,0.93,-1.75,0.77,-0.62,-0.20,0.02,-0.18,-0.15,-0.10,-0.29,0.10,0.30,-0.14,-0.17,2.01,-0.32,-2.25,5.37,-3.06,NOT_EX
-0.15,-0.10,-0.29,0.10,0.30,-0.14,-0.17,2.01,-0.32,-2.25,5.37,-3.06,0.41,-1.79,-2.40,2.14,-2.94,0.19,1.69,-2.12,-0.36,1.16,-1.39,1.46,NOT_EX
0.41,-1.79,-2.40,2.14,-2.94,0.19,1.69,-2.12,-0.36,1.16,-1.39,1.46,0.63,0.05,0.00,-0.81,0.62,-0.33,-0.29,0.06,-0.18,0.04,-0.07,-0.23,NOT_EX
0.63,0.05,0.00,-0.81,0.62,-0.33,-0.29,0.06,-0.18,0.04,-0.07,-0.23,0.05,0.11,-0.13,-0.02,0.39,-0.17,-0.47,2.70,-0.22,-3.95,2.90,-1.83,NOT_EX
0.05,0.11,-0.13,-0.02,0.39,-0.17,-0.47,2.70,-0.22,-3.95,2.90,-1.83,1.55,-2.28,-0.87,1.49,-2.29,0.09,1.79,-0.77,-0.97,-0.99,0.73,-1.51,NOT_EX
1.55,-2.28,-0.87,1.49,-2.29,0.09,1.79,-0.77,-0.97,-0.99,0.73,-1.51,1.16,-0.35,0.81,0.33,-0.01,0.06,0.22,-0.00,0.01,0.30,-0.01,-0.16,NOT_EX
1.16,-0.35,0.81,0.33,-0.01,0.06,0.22,-0.00,0.01,0.30,-0.01,-0.16,0.22,0.02,-0.16,-0.04,0.01,-0.26,0.35,0.13,-0.98,1.90,-0.76,-2.60,NOT_EX
0.22,0.02,-0.16,-0.04,0.01,-0.26,0.35,0.13,-0.98,1.90,-0.76,-2.60,-0.40,-2.02,-5.76,1.08,-0.65,-5.87,0.32,0.26,-1.91,0.99,0.21,0.24,NOT_EX
-0.40,-2.02,-5.76,1.08,-0.65,-5.87,0.32,0.26,-1.91,0.99,0.21,0.24,-1.20,0.29,-0.05,0.04,-0.08,0.17,0.19,0.04,0.11,0.06,0.04,0.03,NOT_EX
