% Data generated on Wed Nov 18 22:18:12 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.87,-0.87,-0.03,3.67,0.33,2.75,2.34,0.80,1.47,-0.26,0.73,-0.16,-1.57,1.38,-1.36,-0.05,0.20,-0.37,-0.18,0.36,-1.08,EX_PEAK
-0.29,2.13,-0.02,-0.80,1.23,-1.16,-0.29,0.19,-1.93,-0.07,-1.79,-2.14,0.74,-1.55,-1.38,0.52,-1.68,-0.24,3.50,-0.23,1.77,EX_TROU
0.56,2.06,0.38,-1.47,0.69,-2.77,-1.88,0.07,-3.45,1.67,-0.90,-2.13,0.19,-1.90,-0.49,0.73,-1.29,-0.69,3.08,-0.26,1.53,EX_TROU
-1.78,2.08,-2.34,-0.79,0.54,-1.56,-0.34,0.08,-2.03,-0.11,-0.34,-2.25,-0.28,-0.55,-1.01,0.53,-1.10,-0.54,2.02,-1.32,0.94,EX_TROU
-0.27,0.40,-1.41,0.06,0.20,-1.21,-0.74,-0.63,-2.04,-0.32,-2.17,-1.37,0.11,-0.81,-0.51,3.42,-0.21,3.12,2.25,0.88,1.94,EX_TROU
0.38,1.95,0.82,-0.19,0.60,-0.81,0.11,0.20,-1.90,-0.02,-1.21,-1.41,0.60,-1.92,-1.06,1.08,-1.24,0.06,3.56,-1.13,2.20,EX_TROU
0.41,0.73,-0.63,-0.17,0.26,-1.18,0.32,-0.26,-2.15,0.13,-0.66,-1.54,0.11,-1.34,-0.86,2.55,-1.06,1.37,2.30,0.25,2.98,EX_TROU
1.20,1.13,0.21,-0.51,0.33,-2.20,0.18,-0.51,-1.47,0.59,-0.98,-0.95,1.42,-1.76,-0.07,0.93,0.01,1.99,0.45,1.52,2.04,EX_TROU
0.53,1.87,-0.19,-0.57,-0.14,-0.67,-0.52,0.20,-1.53,-0.31,-0.93,-1.09,0.45,-2.04,-1.15,0.60,-1.19,-0.16,2.79,-0.65,2.43,EX_TROU
0.18,0.17,-1.11,-1.26,0.57,-1.64,0.23,-1.75,-1.10,0.45,-1.51,-0.71,2.29,-1.34,0.73,1.87,-0.23,1.61,1.26,1.04,2.34,EX_TROU
0.01,0.43,-0.73,-1.24,0.19,-1.86,0.05,-0.69,-1.96,-1.27,-1.95,-1.33,-0.11,-0.92,-0.83,0.87,-0.87,-0.03,3.67,0.33,2.75,EX_TROU
-0.48,-0.70,-0.67,-1.40,-0.34,-1.89,-1.74,3.23,-0.94,0.13,-1.13,-0.80,0.52,1.72,0.66,-0.98,0.62,0.12,-0.20,0.52,0.84,EX_PEAK
-0.06,-1.02,-0.48,-0.45,-0.94,-1.78,-2.02,0.97,-2.40,-2.67,2.29,-1.13,0.36,1.88,0.33,1.19,1.46,1.16,-0.02,0.97,1.24,EX_PEAK
-0.53,-0.85,-0.51,-1.13,-0.11,-1.48,-1.02,0.04,-1.46,-0.50,-0.97,-0.51,-0.59,1.08,-0.82,0.80,2.01,1.17,1.26,1.38,0.99,EX_PEAK
-1.11,-0.24,-1.41,-0.83,-0.23,-2.15,-1.46,3.21,0.02,-0.06,-1.45,0.71,-0.90,0.28,-0.21,-0.39,0.72,0.69,0.27,0.64,0.73,EX_PEAK
-0.69,-0.99,-0.42,-0.83,0.03,-1.44,-0.95,0.34,-1.31,-0.73,1.08,-1.84,0.22,1.11,0.67,1.09,1.41,1.18,0.07,1.15,1.09,EX_PEAK
-0.14,-1.82,-0.53,-0.96,-0.20,-1.56,-1.41,0.48,-1.49,-0.71,-1.32,-1.04,0.04,1.03,-0.13,-0.08,0.46,0.01,0.17,1.08,0.49,EX_PEAK
-1.03,-1.04,-0.68,-1.20,0.65,-1.52,-1.27,-0.39,-1.38,-0.80,1.08,-0.87,-0.17,0.95,0.01,0.23,1.54,1.06,-0.13,0.76,1.32,EX_PEAK
-0.19,-1.36,-0.25,-0.35,-1.26,-0.80,-1.68,0.95,-2.22,-0.48,-0.11,-1.34,0.03,0.41,-0.68,-1.25,0.16,-0.64,-0.08,1.07,1.59,EX_PEAK
-0.21,-0.87,-0.99,-0.45,-0.55,-1.39,0.22,0.26,-1.07,-1.28,0.73,-1.18,-0.39,-0.03,-0.19,-0.38,1.21,1.32,0.10,0.30,1.19,EX_PEAK
0.66,0.36,0.99,2.31,-1.07,2.40,-0.06,-0.34,1.01,-0.05,-1.35,0.26,-0.66,-1.20,-0.14,-0.48,-0.70,-0.67,-1.40,-0.34,-1.89,EX_TROU
-0.20,0.52,0.84,-0.12,0.39,1.58,0.08,0.19,1.72,0.17,-2.25,0.93,1.27,-1.98,0.35,-0.06,-1.02,-0.48,-0.45,-0.94,-1.78,EX_TROU
-0.02,0.97,1.24,0.42,0.51,1.47,1.11,-1.00,1.44,-1.29,-0.67,0.60,0.31,-1.35,0.72,-0.30,-0.95,0.19,-0.53,-0.85,-0.51,EX_TROU
0.30,0.05,0.81,1.73,-0.54,1.96,-0.24,-0.15,0.64,1.46,-2.34,1.00,-0.02,-1.45,-0.10,-0.35,-0.74,-0.48,-1.11,-0.24,-1.41,EX_TROU
0.27,0.64,0.73,0.09,0.32,1.07,0.28,0.47,1.19,0.76,-1.65,1.42,-0.19,-1.49,0.16,-0.37,-1.23,-0.17,-0.69,-0.99,-0.42,EX_TROU
-0.07,0.49,0.72,0.58,-0.07,1.57,0.52,-0.42,1.42,-0.94,-0.65,0.66,0.04,-1.28,-0.09,-0.14,-1.82,-0.53,-0.96,-0.20,-1.56,EX_TROU
-0.10,0.21,0.64,0.93,-0.07,1.41,0.22,-0.18,0.95,-0.46,-1.96,0.43,0.73,-1.69,0.23,-1.03,-1.04,-0.68,-1.20,0.65,-1.52,EX_TROU
-0.09,0.17,0.92,0.45,-0.45,1.39,1.54,-0.53,1.58,-0.06,-0.65,0.57,-0.34,-1.60,0.05,-0.19,-1.36,-0.25,-0.35,-1.26,-0.80,EX_TROU
0.63,0.10,0.39,0.71,-0.14,2.26,0.06,-1.43,1.14,-0.87,-1.94,0.54,-0.15,-1.62,-0.24,-0.21,-0.87,-0.99,-0.45,-0.55,-1.39,EX_TROU
0.03,-0.01,0.00,-0.02,0.01,-0.03,-0.01,0.01,-0.02,-0.01,0.00,-0.02,0.01,0.01,-0.02,0.02,-0.02,-0.01,0.01,-0.01,0.00,NOT_EX
-0.01,0.00,-0.02,0.01,0.01,-0.02,0.02,-0.02,-0.01,0.01,-0.01,0.00,-0.01,-0.01,-0.01,0.00,0.00,-0.03,-0.00,-0.01,-0.01,NOT_EX
-0.01,-0.01,-0.01,0.00,0.00,-0.03,-0.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,-0.01,-0.00,-0.02,0.00,0.00,-0.77,0.30,-0.29,NOT_EX
-0.01,-0.01,-0.00,-0.02,0.00,0.00,-0.77,0.30,-0.29,-0.57,0.45,-1.06,0.14,-0.85,0.36,0.22,-0.35,0.52,0.12,-0.27,0.01,NOT_EX
-0.57,0.45,-1.06,0.14,-0.85,0.36,0.22,-0.35,0.52,0.12,-0.27,0.01,0.98,0.32,0.14,-0.11,-0.11,-0.56,0.40,0.03,0.07,NOT_EX
0.12,-0.27,0.01,0.98,0.32,0.14,-0.11,-0.11,-0.56,0.40,0.03,0.07,-0.03,0.03,-0.04,0.04,0.18,-0.09,-0.02,1.03,-0.06,NOT_EX
-0.03,0.03,-0.04,0.04,0.18,-0.09,-0.02,1.03,-0.06,-1.44,4.17,-0.51,1.67,0.51,-1.98,0.75,-3.08,0.11,1.88,-2.70,0.09,NOT_EX
-1.44,4.17,-0.51,1.67,0.51,-1.98,0.75,-3.08,0.11,1.88,-2.70,0.09,0.11,-1.32,1.89,2.90,1.19,2.00,1.32,0.36,-0.18,NOT_EX
0.11,-1.32,1.89,2.90,1.19,2.00,1.32,0.36,-0.18,0.83,0.02,-0.22,0.06,0.07,-0.16,0.08,0.59,-0.16,-0.32,2.25,-0.15,NOT_EX
0.06,0.07,-0.16,0.08,0.59,-0.16,-0.32,2.25,-0.15,-1.69,4.89,-0.96,-0.29,-1.46,-2.06,0.39,-2.62,1.13,0.69,-1.70,0.55,NOT_EX
-1.69,4.89,-0.96,-0.29,-1.46,-2.06,0.39,-2.62,1.13,0.69,-1.70,0.55,-0.57,-0.41,0.52,-1.21,1.83,-1.10,0.48,0.12,-0.02,NOT_EX
0.69,-1.70,0.55,-0.57,-0.41,0.52,-1.21,1.83,-1.10,0.48,0.12,-0.02,-0.00,-0.09,-0.26,0.17,0.04,-0.06,0.19,0.61,-0.04,NOT_EX
-0.00,-0.09,-0.26,0.17,0.04,-0.06,0.19,0.61,-0.04,-0.81,3.12,0.15,-1.84,3.32,-0.68,1.25,-2.76,-2.47,1.61,-2.77,-0.51,NOT_EX
-0.81,3.12,0.15,-1.84,3.32,-0.68,1.25,-2.76,-2.47,1.61,-2.77,-0.51,1.11,-1.50,0.35,-0.20,-1.96,0.30,1.76,-0.00,0.48,NOT_EX
1.11,-1.50,0.35,-0.20,-1.96,0.30,1.76,-0.00,0.48,0.11,0.05,-0.06,-0.06,-0.04,-0.18,0.16,0.60,-0.15,-0.74,4.27,-0.01,NOT_EX
-0.06,-0.04,-0.18,0.16,0.60,-0.15,-0.74,4.27,-0.01,-2.05,0.45,-1.08,1.05,-3.06,-0.22,1.35,-2.23,0.61,1.31,-1.77,1.41,NOT_EX
-2.05,0.45,-1.08,1.05,-3.06,-0.22,1.35,-2.23,0.61,1.31,-1.77,1.41,-0.08,0.46,-0.11,-0.96,1.39,0.28,0.05,0.08,0.09,NOT_EX
-0.08,0.46,-0.11,-0.96,1.39,0.28,0.05,0.08,0.09,0.13,0.03,-0.00,0.38,0.37,-0.05,0.14,0.87,-0.32,0.53,2.07,-0.28,NOT_EX
0.13,0.03,-0.00,0.38,0.37,-0.05,0.14,0.87,-0.32,0.53,2.07,-0.28,1.23,-1.30,-3.23,2.92,-0.73,-5.22,1.26,0.15,-2.80,NOT_EX
1.23,-1.30,-3.23,2.92,-0.73,-5.22,1.26,0.15,-2.80,1.07,-0.22,-2.99,0.65,0.63,-0.63,2.61,0.06,0.54,0.56,0.06,0.11,NOT_EX
1.07,-0.22,-2.99,0.65,0.63,-0.63,2.61,0.06,0.54,0.56,0.06,0.11,0.14,-0.04,-0.18,0.06,-0.03,-0.16,0.08,0.06,-0.09,NOT_EX
0.14,-0.04,-0.18,0.06,-0.03,-0.16,0.08,0.06,-0.09,0.30,0.45,-0.08,-0.39,3.97,-0.08,0.47,-1.13,-4.00,0.81,-2.84,0.13,NOT_EX
0.30,0.45,-0.08,-0.39,3.97,-0.08,0.47,-1.13,-4.00,0.81,-2.84,0.13,1.35,-1.24,0.38,1.04,-0.27,0.77,-0.69,-0.07,0.51,NOT_EX
0.81,-2.84,0.13,1.35,-1.24,0.38,1.04,-0.27,0.77,-0.69,-0.07,0.51,0.18,0.47,-0.42,-0.22,-0.07,-0.31,-0.02,-0.02,-0.24,NOT_EX
0.18,0.47,-0.42,-0.22,-0.07,-0.31,-0.02,-0.02,-0.24,0.29,0.90,-0.13,-0.87,4.82,-0.18,-1.68,-1.03,-1.23,0.42,-3.22,1.58,NOT_EX
0.29,0.90,-0.13,-0.87,4.82,-0.18,-1.68,-1.03,-1.23,0.42,-3.22,1.58,1.00,-2.90,0.29,0.05,-0.41,1.61,1.87,0.19,-0.25,NOT_EX
1.00,-2.90,0.29,0.05,-0.41,1.61,1.87,0.19,-0.25,1.41,0.83,-0.11,0.63,0.06,-0.13,0.23,0.01,-0.12,-0.02,0.16,-0.32,NOT_EX
1.41,0.83,-0.11,0.63,0.06,-0.13,0.23,0.01,-0.12,-0.02,0.16,-0.32,-0.03,0.47,-0.26,-1.15,5.18,-1.76,0.26,-1.38,-0.93,NOT_EX
-0.03,0.47,-0.26,-1.15,5.18,-1.76,0.26,-1.38,-0.93,0.26,-2.41,-0.45,0.19,-1.95,-0.00,1.22,-1.19,-0.21,-0.01,0.22,0.84,NOT_EX
0.19,-1.95,-0.00,1.22,-1.19,-0.21,-0.01,0.22,0.84,-0.37,3.74,-1.04,1.08,0.39,-0.26,0.28,0.41,-0.08,0.08,-0.06,-0.38,NOT_EX
-0.37,3.74,-1.04,1.08,0.39,-0.26,0.28,0.41,-0.08,0.08,-0.06,-0.38,0.10,0.84,-0.23,-0.20,3.52,0.08,0.06,-0.48,-2.29,NOT_EX
0.10,0.84,-0.23,-0.20,3.52,0.08,0.06,-0.48,-2.29,1.79,-2.56,-0.90,1.45,-2.02,-0.12,1.07,-0.98,0.38,1.16,-1.40,0.35,NOT_EX
1.79,-2.56,-0.90,1.45,-2.02,-0.12,1.07,-0.98,0.38,1.16,-1.40,0.35,0.40,0.99,-0.06,0.22,0.09,0.02,0.12,0.13,-0.01,NOT_EX
1.16,-1.40,0.35,0.40,0.99,-0.06,0.22,0.09,0.02,0.12,0.13,-0.01,0.19,0.26,-0.10,0.21,0.59,-0.32,-0.14,1.75,-0.02,NOT_EX
0.19,0.26,-0.10,0.21,0.59,-0.32,-0.14,1.75,-0.02,-1.71,2.24,-1.46,3.22,-0.75,-4.61,4.33,0.81,-5.38,2.59,-0.34,-2.47,NOT_EX
-1.71,2.24,-1.46,3.22,-0.75,-4.61,4.33,0.81,-5.38,2.59,-0.34,-2.47,1.28,-0.45,-1.25,-0.85,-0.10,0.27,0.97,0.01,0.40,NOT_EX
1.28,-0.45,-1.25,-0.85,-0.10,0.27,0.97,0.01,0.40,-0.27,0.02,0.20,0.66,0.12,0.01,0.19,-0.05,-0.18,0.05,-0.07,-0.20,NOT_EX
-0.27,0.02,0.20,0.66,0.12,0.01,0.19,-0.05,-0.18,0.05,-0.07,-0.20,0.03,0.09,-0.14,-0.41,2.38,0.01,0.47,0.65,-0.02,NOT_EX
0.03,0.09,-0.14,-0.41,2.38,0.01,0.47,0.65,-0.02,1.41,-1.78,-1.38,1.32,-1.71,-0.47,0.52,-1.05,0.28,0.52,-0.34,0.16,NOT_EX
1.41,-1.78,-1.38,1.32,-1.71,-0.47,0.52,-1.05,0.28,0.52,-0.34,0.16,-0.32,2.71,-0.25,1.99,0.61,0.27,0.37,0.31,-0.27,NOT_EX
-0.32,2.71,-0.25,1.99,0.61,0.27,0.37,0.31,-0.27,0.02,0.07,-0.25,-0.13,0.47,-0.27,-0.35,2.55,-0.25,-0.82,-0.10,-1.12,NOT_EX
-0.13,0.47,-0.27,-0.35,2.55,-0.25,-0.82,-0.10,-1.12,0.75,-2.67,-1.17,1.27,-3.03,0.33,-0.09,-1.03,2.89,0.68,0.68,0.09,NOT_EX
0.75,-2.67,-1.17,1.27,-3.03,0.33,-0.09,-1.03,2.89,0.68,0.68,0.09,0.32,0.57,0.09,0.01,0.40,-0.20,0.04,-0.04,-0.35,NOT_EX
0.32,0.57,0.09,0.01,0.40,-0.20,0.04,-0.04,-0.35,-0.08,0.10,-0.12,-0.09,1.19,-0.24,-3.75,3.36,-3.62,0.23,-1.59,1.71,NOT_EX
-0.08,0.10,-0.12,-0.09,1.19,-0.24,-3.75,3.36,-3.62,0.23,-1.59,1.71,0.97,-2.83,-0.31,0.87,-1.60,-0.63,0.63,-0.63,-0.09,NOT_EX
0.97,-2.83,-0.31,0.87,-1.60,-0.63,0.63,-0.63,-0.09,0.22,2.71,-0.84,0.53,0.35,0.13,-0.25,0.25,-0.18,0.07,0.24,-0.28,NOT_EX
0.22,2.71,-0.84,0.53,0.35,0.13,-0.25,0.25,-0.18,0.07,0.24,-0.28,-0.11,0.54,-0.45,-0.17,2.69,-0.11,-1.52,-0.23,-2.80,NOT_EX
-0.11,0.54,-0.45,-0.17,2.69,-0.11,-1.52,-0.23,-2.80,0.75,-2.72,-1.21,0.88,-1.99,0.91,0.84,-0.84,1.10,-0.19,0.95,0.04,NOT_EX
0.75,-2.72,-1.21,0.88,-1.99,0.91,0.84,-0.84,1.10,-0.19,0.95,0.04,0.14,0.07,-0.15,-0.10,-0.02,-0.18,0.12,0.27,-0.10,NOT_EX
-0.19,0.95,0.04,0.14,0.07,-0.15,-0.10,-0.02,-0.18,0.12,0.27,-0.10,-0.16,0.69,-0.16,-1.46,5.39,-2.21,0.76,-2.53,-1.25,NOT_EX
-0.16,0.69,-0.16,-1.46,5.39,-2.21,0.76,-2.53,-1.25,1.84,-2.88,-0.69,0.50,-0.46,-0.35,-1.73,0.55,-0.15,0.45,-0.10,-0.05,NOT_EX
0.50,-0.46,-0.35,-1.73,0.55,-0.15,0.45,-0.10,-0.05,0.49,0.02,-0.07,0.15,0.00,-0.07,0.20,-0.02,-0.17,0.06,0.12,-0.12,NOT_EX
0.49,0.02,-0.07,0.15,0.00,-0.07,0.20,-0.02,-0.17,0.06,0.12,-0.12,-0.08,0.61,-0.75,3.34,-0.96,-6.59,2.79,-0.09,-4.55,NOT_EX
-0.08,0.61,-0.75,3.34,-0.96,-6.59,2.79,-0.09,-4.55,1.65,-0.39,-3.64,1.64,0.12,-2.31,4.85,-1.04,-0.48,1.63,0.10,0.22,NOT_EX
1.65,-0.39,-3.64,1.64,0.12,-2.31,4.85,-1.04,-0.48,1.63,0.10,0.22,0.45,0.07,0.07,0.00,-0.01,-0.20,0.16,0.27,-0.13,NOT_EX
0.45,0.07,0.07,0.00,-0.01,-0.20,0.16,0.27,-0.13,0.23,1.06,0.18,-1.42,4.76,-1.78,1.76,-2.57,-2.35,2.40,-3.01,-0.78,NOT_EX
0.23,1.06,0.18,-1.42,4.76,-1.78,1.76,-2.57,-2.35,2.40,-3.01,-0.78,1.06,-1.36,1.12,-0.41,1.22,0.90,0.88,0.06,-0.28,NOT_EX
1.06,-1.36,1.12,-0.41,1.22,0.90,0.88,0.06,-0.28,0.02,-0.04,-0.38,-0.06,-0.04,-0.22,0.01,0.05,-0.13,-0.09,2.47,-0.29,NOT_EX
0.02,-0.04,-0.38,-0.06,-0.04,-0.22,0.01,0.05,-0.13,-0.09,2.47,-0.29,-0.15,2.84,-0.21,0.74,-2.42,-0.62,1.88,-2.89,0.30,NOT_EX
-0.15,2.84,-0.21,0.74,-2.42,-0.62,1.88,-2.89,0.30,1.37,-1.33,2.49,2.85,-1.44,1.63,0.74,0.02,0.09,-0.27,-0.19,-0.30,NOT_EX
1.37,-1.33,2.49,2.85,-1.44,1.63,0.74,0.02,0.09,-0.27,-0.19,-0.30,-0.08,0.06,-0.08,0.02,0.93,-0.04,-1.10,4.09,-1.03,NOT_EX
-0.08,0.06,-0.08,0.02,0.93,-0.04,-1.10,4.09,-1.03,-2.20,-0.36,0.89,0.14,-2.94,1.42,1.10,-2.33,-1.10,0.66,-0.46,0.45,NOT_EX
-2.20,-0.36,0.89,0.14,-2.94,1.42,1.10,-2.33,-1.10,0.66,-0.46,0.45,2.67,-0.09,0.93,-1.83,0.71,-0.59,-0.01,-0.05,-0.30,NOT_EX
0.66,-0.46,0.45,2.67,-0.09,0.93,-1.83,0.71,-0.59,-0.01,-0.05,-0.30,-0.17,-0.09,-0.32,-0.01,0.75,-0.23,-1.51,5.84,-2.63,NOT_EX
-0.17,-0.09,-0.32,-0.01,0.75,-0.23,-1.51,5.84,-2.63,0.23,-0.88,-2.59,2.14,-2.94,0.19,1.35,-1.67,0.87,0.53,-0.18,0.81,NOT_EX
2.14,-2.94,0.19,1.35,-1.67,0.87,0.53,-0.18,0.81,0.70,2.33,0.45,0.49,0.11,-0.16,0.03,-0.06,-0.25,-0.07,0.08,-0.13,NOT_EX
0.70,2.33,0.45,0.49,0.11,-0.16,0.03,-0.06,-0.25,-0.07,0.08,-0.13,-0.02,0.46,-0.15,-0.47,2.78,-0.24,0.39,-1.16,-1.97,NOT_EX
-0.02,0.46,-0.15,-0.47,2.78,-0.24,0.39,-1.16,-1.97,1.56,-2.29,-0.68,1.81,-1.57,0.08,0.20,0.17,-2.21,1.16,-0.35,0.81,NOT_EX
1.56,-2.29,-0.68,1.81,-1.57,0.08,0.20,0.17,-2.21,1.16,-0.35,0.81,0.33,-0.01,0.06,0.30,0.07,0.04,0.27,-0.01,-0.13,NOT_EX
0.33,-0.01,0.06,0.30,0.07,0.04,0.27,-0.01,-0.13,0.17,0.00,-0.15,0.30,0.09,-0.48,0.12,0.23,-1.06,-0.43,-2.05,-5.44,NOT_EX
0.17,0.00,-0.15,0.30,0.09,-0.48,0.12,0.23,-1.06,-0.43,-2.05,-5.44,1.08,-0.65,-5.87,0.45,0.31,-1.89,1.35,0.47,0.39,NOT_EX
1.08,-0.65,-5.87,0.45,0.31,-1.89,1.35,0.47,0.39,-0.16,-0.76,0.14,-0.00,-0.01,0.15,0.02,-0.01,0.04,-0.01,0.00,-0.02,NOT_EX
-0.16,-0.76,0.14,-0.00,-0.01,0.15,0.02,-0.01,0.04,-0.01,0.00,-0.02,-0.01,0.01,-0.02,-0.06,-0.01,-0.07,-0.03,-0.00,-0.02,NOT_EX
-0.01,0.01,-0.02,-0.06,-0.01,-0.07,-0.03,-0.00,-0.02,-0.04,-0.00,-0.03,-0.05,-0.00,-0.04,-0.01,0.00,-0.02,-0.01,-0.01,-0.01,NOT_EX
-0.04,-0.00,-0.03,-0.05,-0.00,-0.04,-0.01,0.00,-0.02,-0.01,-0.01,-0.01,-0.00,-0.01,-0.02,0.01,-0.01,-0.02,0.01,-0.02,-0.01,NOT_EX
-0.00,-0.01,-0.02,0.01,-0.01,-0.02,0.01,-0.02,-0.01,0.03,-0.00,-0.00,-0.03,-0.01,-0.01,-0.05,-0.01,-0.02,0.02,0.00,0.00,NOT_EX
0.03,-0.00,-0.00,-0.03,-0.01,-0.01,-0.05,-0.01,-0.02,0.02,0.00,0.00,0.03,-0.00,-0.01,0.01,-0.01,-0.01,0.02,0.01,0.00,NOT_EX
1.17,-5.02,2.37,-0.01,-2.46,-1.86,0.47,0.25,-1.61,-0.45,3.63,-3.56,-3.88,3.96,1.90,-3.33,-2.99,3.40,-0.26,-2.55,-0.39,EX_PEAK
0.62,0.42,-0.96,0.23,0.74,-1.76,-1.00,2.85,-3.53,-0.97,3.30,-0.49,-4.70,2.87,2.88,-2.97,-2.94,2.50,-0.46,-3.92,-0.91,EX_PEAK
-0.97,-1.56,-3.87,-0.03,-0.12,-0.99,0.36,0.28,-1.16,-1.10,0.28,-0.19,-2.07,4.86,0.45,-3.31,0.14,2.25,-1.64,-3.57,1.23,EX_PEAK
0.19,-1.96,-3.30,0.51,1.58,-3.00,0.11,5.30,-5.23,-1.70,3.45,-0.31,-6.46,-0.43,3.24,-2.76,-4.54,1.95,-3.58,-6.07,0.01,EX_PEAK
-1.47,-0.37,-1.32,0.27,-0.16,-1.65,0.76,-3.05,1.27,0.40,1.83,-0.87,-1.19,3.68,-0.63,-3.68,-2.77,1.58,-1.16,-1.70,0.68,EX_PEAK
0.68,-1.33,-2.78,0.85,1.40,-2.39,0.13,1.24,-0.36,-1.04,5.72,-1.02,-2.04,0.84,1.29,-3.81,-4.14,3.16,0.82,-2.31,-0.74,EX_PEAK
0.82,-2.31,-0.74,-2.54,-1.86,-3.38,-0.83,1.28,-1.13,0.41,-1.07,-0.24,1.13,3.73,-0.93,-1.03,1.91,0.39,-4.87,-2.29,3.49,EX_PEAK
0.47,-2.96,-1.26,-1.45,2.17,-2.19,2.22,5.21,-6.74,-1.18,1.82,-0.25,-1.17,3.12,0.00,-5.18,0.20,3.67,-2.38,-0.63,3.13,EX_PEAK
3.10,-1.12,-4.04,-0.13,-2.30,-2.15,0.62,2.07,-3.02,0.52,0.41,-0.34,-0.03,2.01,-0.17,-5.21,0.61,2.38,-2.03,-4.47,1.92,EX_PEAK
-1.31,-0.19,-1.74,1.12,0.20,-2.56,0.46,1.90,-2.68,1.71,5.68,-1.75,-0.68,1.92,0.75,-5.81,1.34,3.31,-4.46,-3.26,2.14,EX_PEAK
