% Data generated on Wed Nov 18 22:18:52 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE y9 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE y10 NUMERIC
@ATTRIBUTE z10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE y11 NUMERIC
@ATTRIBUTE z11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE y12 NUMERIC
@ATTRIBUTE z12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE y13 NUMERIC
@ATTRIBUTE z13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE y14 NUMERIC
@ATTRIBUTE z14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE y15 NUMERIC
@ATTRIBUTE z15 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.87,-0.87,-0.03,0.55,-1.03,-0.04,3.07,-0.90,2.64,3.67,0.33,2.75,-0.28,1.13,2.58,2.34,0.80,1.47,1.26,0.35,2.14,2.01,-0.23,2.17,-1.49,1.59,-0.58,-1.57,1.38,-1.36,-0.71,2.15,-0.15,1.26,1.72,-0.05,-0.22,0.09,-0.31,-0.18,0.36,-1.08,0.13,0.32,-0.92,EX_PEAK
-0.77,0.67,-0.59,-0.08,1.16,0.17,-0.28,-0.52,-0.89,0.17,1.34,-1.18,0.00,0.30,-2.27,-0.48,0.16,-1.93,0.01,-0.31,-3.00,-0.81,-1.60,-1.94,-1.83,-1.71,-2.02,0.74,-1.55,-1.38,0.47,-1.63,-1.36,0.39,-1.38,-0.23,0.57,-1.30,-0.73,2.37,-1.58,1.42,1.39,-0.20,1.16,EX_TROU
-0.89,1.39,-1.79,-0.27,1.41,-1.18,0.14,0.74,-0.99,-0.10,0.02,-0.76,-1.27,0.73,-3.29,1.11,0.17,-2.44,-0.64,-0.15,-3.38,1.53,-0.76,-2.35,-2.22,-1.41,-1.61,1.21,-2.15,-1.22,0.24,-2.01,-0.59,0.66,-1.15,-0.61,0.73,-1.29,-0.69,0.62,-0.60,0.13,3.08,-0.26,1.53,EX_TROU
1.21,-2.86,0.56,-1.58,2.06,-2.07,0.57,-0.56,-0.63,-0.85,0.61,-1.60,0.40,1.07,-0.91,-0.34,0.08,-2.03,-0.02,-0.10,-1.85,-0.11,-0.34,-2.25,-1.02,-1.10,-2.01,-0.65,-1.65,-1.50,0.19,-0.86,-0.60,0.06,-1.25,-0.66,0.55,-1.16,-0.54,0.61,-1.18,-0.37,1.87,-0.86,1.91,EX_TROU
-0.76,1.51,-1.08,0.29,1.48,-0.41,-0.03,0.24,-1.38,0.08,0.18,-1.24,0.06,0.20,-1.21,-0.87,-0.46,-2.24,-0.20,-1.79,-1.69,-0.47,-1.01,-0.65,-0.32,-2.17,-1.37,0.43,-2.03,-0.96,0.11,-0.81,-0.51,0.21,-1.00,-0.35,3.42,-0.21,3.12,0.64,-0.19,2.56,2.46,0.65,2.39,EX_TROU
-1.61,1.78,-0.70,0.93,1.32,0.52,0.14,0.56,-0.90,-0.19,0.60,-0.81,-0.50,0.23,-1.97,0.11,0.20,-1.90,-0.04,0.24,-1.92,-0.02,-1.21,-1.41,-1.55,-1.36,-1.31,0.09,-1.45,-1.15,-0.13,-0.89,-0.92,0.70,-1.36,-0.29,1.22,-1.26,0.21,3.51,-1.16,2.09,1.05,-0.51,3.11,EX_TROU
0.41,0.73,-0.63,-0.28,0.20,-0.69,-0.06,0.22,-1.02,0.53,0.05,-1.46,-1.58,0.22,-2.21,1.02,-0.45,-2.04,0.70,-0.65,-1.69,0.13,-0.66,-1.54,0.14,-1.39,-0.99,0.09,-1.45,-0.71,0.23,-1.59,-0.65,2.55,-1.06,1.37,2.07,-0.33,2.06,3.04,0.17,2.89,2.02,0.34,2.95,EX_TROU
1.15,1.26,0.28,1.20,1.13,0.21,-0.64,0.36,-2.20,-0.51,0.33,-2.20,-0.98,0.00,-2.12,0.18,-0.51,-1.47,0.11,-0.61,-1.40,0.59,-0.98,-0.95,0.70,-0.90,-0.80,0.35,-1.26,-0.30,1.89,-1.26,1.06,1.42,-0.95,1.55,1.31,0.18,2.43,0.45,1.80,2.23,0.56,1.38,1.94,EX_TROU
0.53,1.87,-0.19,-0.39,-0.07,-0.60,-0.57,-0.14,-0.67,-0.64,0.11,-1.27,-0.64,0.14,-1.35,-0.12,0.01,-2.49,-0.28,-0.98,-1.16,-0.96,-1.86,-1.09,0.95,-1.68,-0.50,0.25,-2.00,-1.29,0.48,-1.03,-0.22,0.68,-1.31,-0.20,1.68,-0.86,0.37,3.17,-0.52,2.72,-0.11,0.16,1.59,EX_TROU
-0.41,0.77,-0.64,-0.04,0.83,-0.63,0.18,0.17,-1.11,-1.04,0.50,-1.52,-1.26,0.57,-1.64,-0.65,-0.01,-2.40,0.23,-1.75,-1.10,0.39,-1.36,-0.72,0.45,-1.51,-0.71,0.18,-1.60,-0.54,0.23,-1.18,-0.77,2.29,-1.34,0.73,0.00,-0.70,-0.22,1.22,-0.29,1.13,1.91,0.47,2.68,EX_TROU
0.01,0.43,-0.73,-0.51,0.38,-1.38,0.26,0.03,-1.29,-1.29,0.29,-1.94,0.40,0.16,-2.31,0.01,-0.86,-1.55,-1.24,-2.02,-1.25,0.65,-1.40,-1.06,-0.21,-1.63,-1.07,1.10,-1.63,-0.29,0.87,-0.87,-0.03,0.55,-1.03,-0.04,3.07,-0.90,2.64,3.67,0.33,2.75,-0.28,1.13,2.58,EX_TROU
-0.67,-0.92,-0.32,-0.48,-0.70,-0.67,-0.36,-0.63,-0.85,-1.40,-0.34,-1.89,-0.82,-0.76,-2.23,-1.84,2.72,-1.29,-1.43,1.63,-1.82,0.10,-1.03,-0.19,-1.91,1.71,-1.04,0.37,2.17,0.44,-0.23,1.31,0.42,-0.80,0.33,0.20,-0.91,0.75,0.15,0.10,0.92,1.05,-0.25,0.91,0.98,EX_PEAK
-0.06,-1.02,-0.48,-0.70,-0.38,-1.08,-0.58,-0.93,-1.82,-0.68,-0.25,-1.24,-1.99,1.14,-2.44,-0.92,1.21,-1.58,-2.67,2.29,-1.13,-2.24,3.23,-0.78,0.36,1.88,0.33,-1.22,0.10,-0.26,1.18,1.29,0.94,-0.13,1.39,1.17,-0.07,1.04,1.29,0.35,0.19,0.72,0.49,0.42,1.42,EX_PEAK
-0.36,-0.97,-0.46,-0.64,-0.56,-1.15,-1.09,-0.50,-1.46,-1.11,-0.08,-1.49,-0.93,-0.11,-1.43,-1.06,-0.08,-1.37,-1.69,1.98,-1.26,-1.16,1.46,-1.61,-0.39,-0.41,-0.26,-0.59,1.08,-0.82,-0.33,0.28,0.19,0.80,2.01,1.17,0.82,1.76,1.40,0.32,0.05,0.86,0.22,1.46,1.27,EX_PEAK
-0.95,-0.77,-1.25,-0.05,-0.81,-0.87,-1.32,-0.10,-1.56,-0.77,-0.38,-2.14,-0.88,1.09,-1.28,-0.19,-0.71,-0.90,-0.28,-1.94,-0.38,-1.24,2.56,-1.68,-1.24,0.25,-0.97,-0.79,1.19,0.10,-0.13,-0.06,0.27,0.09,1.20,0.67,0.72,1.12,1.06,0.33,0.96,1.01,0.27,0.64,0.73,EX_PEAK
-0.69,-0.99,-0.42,-0.62,-0.89,-0.72,-0.91,0.03,-1.48,-0.81,0.01,-1.34,-0.54,-0.24,-1.19,-1.48,1.65,-1.57,-0.69,0.98,-1.85,-0.66,0.24,-0.27,-1.51,2.30,-0.59,0.05,-0.32,0.22,-0.13,1.44,0.53,1.09,1.41,1.18,0.40,1.15,0.80,0.59,1.42,1.35,-0.16,0.82,1.03,EX_PEAK
-0.14,-1.82,-0.53,-1.00,-0.68,-1.28,-1.03,0.12,-1.59,-0.63,-0.71,-1.32,-1.47,0.76,-1.52,-0.98,0.90,-1.39,-0.82,-1.49,-0.78,-1.64,3.08,-0.95,-0.22,1.10,-0.50,-0.04,0.94,-0.07,-0.22,0.45,-0.01,0.36,1.27,1.03,-0.47,0.07,0.17,0.17,1.08,0.49,-0.30,0.75,1.13,EX_PEAK
-0.22,-1.32,-0.41,-1.15,-0.71,-0.91,-0.69,-0.69,-1.33,-1.00,0.56,-1.26,-0.84,-0.18,-1.50,-1.27,-0.39,-1.38,-0.17,0.08,-1.44,-0.16,0.38,-1.31,-0.52,1.51,-0.06,-0.61,0.51,-0.15,0.94,1.78,1.12,0.12,0.64,0.85,0.97,2.05,2.10,-0.08,0.82,1.44,-0.35,0.74,1.21,EX_PEAK
-0.85,-1.35,-0.87,-0.33,-1.10,-0.66,-1.06,-0.61,-1.19,-0.06,-1.21,-0.80,-1.17,-0.62,-2.01,-0.82,0.22,-1.49,-0.48,-0.11,-1.34,-0.49,0.52,-1.40,-0.21,-0.42,-0.70,-0.61,1.58,0.12,-0.63,1.60,0.22,1.37,1.70,1.44,-0.29,1.27,1.53,-0.08,0.91,1.49,0.55,0.10,0.29,EX_PEAK
-1.61,-0.69,-0.51,-0.88,-0.54,-0.99,-0.03,-1.17,-1.09,-0.76,-0.02,-1.58,-0.85,-0.19,-1.41,-1.66,1.76,-1.74,0.07,0.78,-0.86,-1.76,0.90,-1.10,-0.66,1.80,-0.48,-0.33,-0.08,-0.07,-0.45,0.45,-0.19,0.90,2.11,1.95,-0.42,1.21,1.32,0.13,0.50,0.43,0.42,0.10,1.13,EX_PEAK
0.13,0.41,0.61,1.21,-0.05,2.13,0.65,-0.68,1.92,0.67,-0.45,1.69,-0.50,-0.22,1.13,-0.23,-1.44,0.60,-0.12,-1.27,0.72,-0.14,-0.87,0.15,0.15,-1.23,0.24,-0.58,-1.19,-0.11,-0.67,-0.92,-0.32,-0.48,-0.70,-0.67,-0.36,-0.63,-0.85,-1.40,-0.34,-1.89,-0.82,-0.76,-2.23,EX_TROU
-0.25,0.91,0.98,-0.04,0.66,0.86,-0.12,0.39,1.58,2.04,-1.11,2.59,0.08,0.19,1.72,0.92,-2.32,1.38,0.19,-1.40,0.85,-1.37,-1.81,0.28,1.33,-1.96,0.54,-0.74,-1.12,-0.14,-0.07,-1.14,-0.41,-0.06,-1.02,-0.48,-0.70,-0.38,-1.08,-0.58,-0.93,-1.82,-0.68,-0.25,-1.24,EX_TROU
-0.07,1.04,1.29,0.35,0.19,0.72,0.49,0.42,1.42,-0.48,0.31,0.98,-0.43,0.38,1.19,0.75,-0.96,1.17,0.26,-0.30,0.78,-1.29,-0.67,0.60,-1.49,-0.26,0.47,0.31,-1.35,0.72,-0.37,-0.78,0.17,-0.30,-0.95,0.19,-0.15,-1.02,0.13,-0.36,-0.97,-0.46,-0.64,-0.56,-1.15,EX_TROU
-0.03,0.13,0.60,0.30,0.05,0.81,1.43,-1.17,1.78,-0.16,-0.18,1.20,0.65,-1.28,1.10,-0.41,-0.11,0.64,-0.23,-2.61,0.70,1.24,-2.04,0.92,1.32,-2.76,0.66,0.20,-1.27,0.00,-0.54,-1.35,-0.24,-0.41,-0.73,-0.55,-0.95,-0.77,-1.25,-0.05,-0.81,-0.87,-1.32,-0.10,-1.56,EX_TROU
0.27,0.64,0.73,-0.35,0.45,0.78,-0.20,0.29,0.62,0.05,0.30,1.04,0.63,0.15,1.36,-0.32,0.18,0.74,0.98,-0.89,1.85,0.74,-1.94,1.40,-1.47,-0.08,0.37,-0.31,-1.38,0.06,0.18,-1.30,0.10,-0.37,-1.23,-0.17,-0.72,-1.09,-0.45,-0.69,-0.99,-0.42,-0.62,-0.89,-0.72,EX_TROU
0.28,0.21,0.80,0.34,-0.05,1.13,0.51,-0.06,1.57,1.44,-0.84,1.79,0.31,-0.36,1.33,0.57,-1.99,1.55,-0.88,-0.94,0.66,-0.10,-1.27,-0.00,0.04,-1.28,-0.09,-1.21,-0.77,-0.75,-0.14,-1.82,-0.53,-1.00,-0.68,-1.28,-1.03,0.12,-1.59,-0.63,-0.71,-1.32,-1.47,0.76,-1.52,EX_TROU
0.11,0.46,0.63,-0.16,0.24,0.64,0.41,-0.08,1.18,1.51,-1.12,2.01,0.24,-0.67,1.25,0.55,-0.26,1.06,0.47,-1.87,1.17,-0.36,-0.15,0.67,-0.49,-2.04,0.40,0.69,-1.68,0.25,-0.55,-1.42,-0.25,-0.22,-1.32,-0.41,-1.15,-0.71,-0.91,-0.69,-0.69,-1.33,-1.00,0.56,-1.26,EX_TROU
-0.14,0.14,0.93,0.39,-0.11,1.06,0.62,-0.52,1.44,0.90,-0.64,1.54,1.86,-0.81,1.84,0.53,-0.45,1.07,0.66,-1.54,1.18,-0.18,-2.23,0.79,-0.80,-1.38,-0.02,0.05,-1.59,-0.05,-0.26,-1.35,-0.27,-0.85,-1.35,-0.87,-0.33,-1.10,-0.66,-1.06,-0.61,-1.19,-0.06,-1.21,-0.80,EX_TROU
-0.31,0.25,0.88,0.02,0.20,1.51,0.71,-0.14,2.26,0.61,0.08,1.92,0.26,-1.53,1.17,0.07,-1.00,0.79,-0.82,-1.79,0.58,-1.01,0.08,-0.80,1.41,-2.67,0.01,-1.61,-0.69,-0.51,-0.88,-0.54,-0.99,-0.03,-1.17,-1.09,-0.76,-0.02,-1.58,-0.85,-0.19,-1.41,-1.66,1.76,-1.74,EX_TROU
0.06,-0.01,0.00,0.05,-0.00,-0.00,0.03,-0.01,-0.01,-0.02,-0.00,-0.04,0.01,-0.00,-0.01,-0.01,0.01,-0.02,-0.02,0.01,-0.02,-0.01,0.00,-0.02,0.01,-0.01,-0.00,0.01,-0.00,0.00,0.01,-0.02,-0.01,0.02,-0.01,-0.01,0.00,-0.03,-0.01,0.01,-0.03,0.00,0.02,-0.01,0.00,NOT_EX
-0.01,0.00,-0.02,0.01,-0.01,-0.00,0.01,-0.00,0.00,0.01,-0.02,-0.01,0.02,-0.01,-0.01,0.00,-0.03,-0.01,0.01,-0.03,0.00,0.02,-0.01,0.00,0.00,-0.02,-0.01,0.00,-0.00,-0.00,0.01,0.00,-0.02,0.01,0.00,-0.02,-0.00,-0.01,-0.01,-0.00,-0.01,-0.01,0.01,0.00,-0.01,NOT_EX
0.00,-0.02,-0.01,0.00,-0.00,-0.00,0.01,0.00,-0.02,0.01,0.00,-0.02,-0.00,-0.01,-0.01,-0.00,-0.01,-0.01,0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,-0.01,-0.02,-0.02,-0.01,-0.02,0.01,0.00,0.01,-0.01,-0.01,0.00,0.05,0.08,0.04,0.00,0.11,0.04,-0.32,0.42,-0.84,NOT_EX
0.00,-0.01,0.00,-0.01,-0.01,-0.02,-0.02,-0.01,-0.02,0.01,0.00,0.01,-0.01,-0.01,0.00,0.05,0.08,0.04,0.00,0.11,0.04,-0.32,0.42,-0.84,0.05,0.03,-1.00,0.19,-0.63,0.01,0.07,-0.70,0.32,0.01,-0.40,0.18,0.33,-0.57,0.36,0.15,-0.22,0.54,-0.23,-0.54,0.34,NOT_EX
0.05,0.03,-1.00,0.19,-0.63,0.01,0.07,-0.70,0.32,0.01,-0.40,0.18,0.33,-0.57,0.36,0.15,-0.22,0.54,-0.23,-0.54,0.34,0.08,-0.17,0.01,0.06,-0.60,-0.02,1.13,0.31,0.08,-1.03,0.74,-0.22,-0.49,-0.10,-0.40,1.32,-0.02,-0.12,0.18,0.05,0.09,0.18,0.04,-0.01,NOT_EX
0.06,-0.60,-0.02,1.13,0.31,0.08,-1.03,0.74,-0.22,-0.49,-0.10,-0.40,1.32,-0.02,-0.12,0.18,0.05,0.09,0.18,0.04,-0.01,-0.00,0.04,-0.04,-0.08,-0.03,-0.23,-0.03,0.01,-0.18,0.04,0.19,-0.06,0.11,0.55,0.02,-0.03,1.11,-0.04,-0.17,1.62,-0.11,-1.44,4.17,-0.51,NOT_EX
-0.00,0.04,-0.04,-0.08,-0.03,-0.23,-0.03,0.01,-0.18,0.04,0.19,-0.06,0.11,0.55,0.02,-0.03,1.11,-0.04,-0.17,1.62,-0.11,-1.44,4.17,-0.51,-1.72,4.53,-0.73,-2.79,2.25,-1.38,1.52,-1.24,-2.33,0.61,-3.26,0.81,0.78,-3.08,-0.05,1.92,-2.70,-0.01,1.41,-2.18,0.85,NOT_EX
-1.72,4.53,-0.73,-2.79,2.25,-1.38,1.52,-1.24,-2.33,0.61,-3.26,0.81,0.78,-3.08,-0.05,1.92,-2.70,-0.01,1.41,-2.18,0.85,0.86,-2.20,1.49,-0.54,-0.36,1.66,-0.56,1.15,-0.38,1.07,3.56,1.99,-0.66,-0.05,0.78,1.73,0.52,-0.15,-0.66,0.37,-0.17,0.83,0.02,-0.22,NOT_EX
0.86,-2.20,1.49,-0.54,-0.36,1.66,-0.56,1.15,-0.38,1.07,3.56,1.99,-0.66,-0.05,0.78,1.73,0.52,-0.15,-0.66,0.37,-0.17,0.83,0.02,-0.22,0.41,-0.01,-0.18,-0.39,-0.08,-0.17,0.26,-0.06,-0.14,0.08,0.33,-0.10,0.12,0.74,-0.10,-0.10,1.86,-0.13,-0.61,2.70,-0.16,NOT_EX
0.41,-0.01,-0.18,-0.39,-0.08,-0.17,0.26,-0.06,-0.14,0.08,0.33,-0.10,0.12,0.74,-0.10,-0.10,1.86,-0.13,-0.61,2.70,-0.16,-1.61,4.82,-0.89,-1.65,2.83,-0.27,-0.42,-1.26,-2.12,0.14,-2.52,0.72,0.09,-3.38,1.78,0.66,-2.53,1.11,0.53,-2.72,0.83,0.62,-1.75,0.54,NOT_EX
-1.61,4.82,-0.89,-1.65,2.83,-0.27,-0.42,-1.26,-2.12,0.14,-2.52,0.72,0.09,-3.38,1.78,0.66,-2.53,1.11,0.53,-2.72,0.83,0.62,-1.75,0.54,0.27,-1.28,1.34,-0.57,-0.41,0.52,0.20,3.19,-1.25,0.61,0.55,1.90,-0.16,0.29,0.93,0.38,0.13,0.08,-0.21,-0.23,-0.42,NOT_EX
0.27,-1.28,1.34,-0.57,-0.41,0.52,0.20,3.19,-1.25,0.61,0.55,1.90,-0.16,0.29,0.93,0.38,0.13,0.08,-0.21,-0.23,-0.42,-0.00,-0.14,-0.26,-0.00,-0.09,-0.26,0.16,0.04,-0.06,0.01,0.10,-0.09,0.20,0.45,0.03,0.19,0.61,-0.04,0.11,1.39,0.02,-0.76,3.05,0.15,NOT_EX
-0.00,-0.14,-0.26,-0.00,-0.09,-0.26,0.16,0.04,-0.06,0.01,0.10,-0.09,0.20,0.45,0.03,0.19,0.61,-0.04,0.11,1.39,0.02,-0.76,3.05,0.15,-0.84,3.30,0.14,-0.77,5.08,-0.24,1.11,0.16,-1.81,1.25,-2.76,-2.47,1.21,-2.88,-2.23,1.54,-2.89,-0.43,1.80,-2.63,0.12,NOT_EX
-0.84,3.30,0.14,-0.77,5.08,-0.24,1.11,0.16,-1.81,1.25,-2.76,-2.47,1.21,-2.88,-2.23,1.54,-2.89,-0.43,1.80,-2.63,0.12,1.23,-1.72,0.36,0.39,-2.13,0.68,-0.26,-0.26,1.06,-0.20,-1.96,0.30,-1.52,0.01,0.97,1.76,-0.00,0.48,0.33,-0.03,-0.01,0.14,0.05,-0.06,NOT_EX
1.23,-1.72,0.36,0.39,-2.13,0.68,-0.26,-0.26,1.06,-0.20,-1.96,0.30,-1.52,0.01,0.97,1.76,-0.00,0.48,0.33,-0.03,-0.01,0.14,0.05,-0.06,0.09,0.04,-0.07,-0.15,-0.06,-0.17,-0.03,0.00,-0.11,0.14,0.58,-0.14,0.02,1.19,-0.03,0.06,1.54,-0.14,-0.98,4.84,-0.39,NOT_EX
0.09,0.04,-0.07,-0.15,-0.06,-0.17,-0.03,0.00,-0.11,0.14,0.58,-0.14,0.02,1.19,-0.03,0.06,1.54,-0.14,-0.98,4.84,-0.39,-3.69,5.49,-1.25,0.72,-0.12,-2.68,1.10,-3.01,-1.16,1.29,-3.98,0.79,1.22,-3.55,0.57,1.35,-2.23,0.61,-0.62,-1.30,0.59,1.31,-1.77,1.41,NOT_EX
-3.69,5.49,-1.25,0.72,-0.12,-2.68,1.10,-3.01,-1.16,1.29,-3.98,0.79,1.22,-3.55,0.57,1.35,-2.23,0.61,-0.62,-1.30,0.59,1.31,-1.77,1.41,0.89,-0.92,0.76,-0.02,0.46,-0.15,2.37,2.49,1.72,-1.41,0.60,-0.23,0.06,1.10,-0.01,-0.30,0.02,0.11,0.18,0.09,0.11,NOT_EX
