% Data generated on Wed Nov 18 22:18:23 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE y9 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.87,-0.87,-0.03,-0.40,-0.97,-0.50,-0.28,1.13,2.58,2.10,0.92,1.29,-1.27,1.35,-0.72,1.67,-1.54,0.73,1.20,1.83,0.02,-0.43,-0.05,-0.21,0.13,0.32,-0.92,EX_PEAK
-0.29,2.13,-0.02,-0.28,-0.52,-0.89,0.12,0.16,-2.20,-0.72,-0.19,-2.89,-1.84,-2.08,-1.98,0.74,-1.55,-1.38,0.30,-1.36,-0.27,0.49,-1.28,-0.71,-0.79,-0.56,-0.42,EX_TROU
-0.27,1.41,-1.18,-0.07,0.03,-0.74,-1.27,0.73,-3.29,-1.14,-0.13,-3.44,1.67,-0.90,-2.13,1.21,-2.15,-1.22,0.43,-1.11,-0.66,0.60,-1.15,-0.08,3.08,-0.26,1.53,EX_TROU
-0.45,-1.54,-0.54,1.05,0.23,0.37,-0.85,0.61,-1.60,-0.34,0.08,-2.03,-0.15,-0.30,-2.23,-0.94,-1.22,-1.65,0.19,-0.86,-0.60,0.55,-1.16,-0.54,0.61,-1.18,-0.37,EX_TROU
-0.58,1.59,-0.88,-0.14,0.27,-1.37,0.08,0.18,-1.24,-0.87,-0.46,-2.24,-0.42,-1.59,-1.45,0.23,-1.15,-0.80,0.11,-0.81,-0.51,3.66,-0.67,2.83,2.16,0.49,2.39,EX_TROU
-1.61,1.78,-0.70,1.03,0.65,-0.33,-0.10,0.48,-1.27,0.11,0.20,-1.90,0.47,-1.26,-1.69,-0.12,-1.46,-1.10,-0.13,-0.89,-0.92,1.08,-1.24,0.06,3.56,-1.13,2.20,EX_TROU
0.89,0.95,-0.31,-0.06,0.22,-1.02,0.53,0.05,-1.43,1.02,-0.45,-2.04,0.13,-0.66,-1.54,0.13,-1.28,-0.92,0.23,-1.59,-0.65,-0.09,-0.99,0.31,2.30,0.25,2.98,EX_TROU
1.15,1.26,0.28,-0.61,0.36,-2.24,-0.99,0.09,-2.12,0.11,-0.61,-1.40,0.59,-0.98,-0.95,0.35,-1.26,-0.30,1.58,-0.89,1.68,1.59,0.23,2.68,0.56,1.38,1.94,EX_TROU
0.62,1.80,-0.26,-0.59,-0.12,-0.72,-0.64,0.14,-1.35,-0.06,-0.85,-1.80,-1.00,-1.99,-1.17,0.25,-2.00,-1.29,0.60,-1.19,-0.16,1.54,-1.01,1.32,-0.97,-0.48,0.84,EX_TROU
-0.27,0.80,-0.60,0.18,0.17,-1.11,-1.04,0.50,-1.52,0.35,-0.75,-1.33,0.23,-1.26,-0.72,-0.20,-0.52,-0.97,2.29,-1.34,0.73,2.36,-1.22,0.65,1.45,0.48,2.44,EX_TROU
-0.53,0.40,-1.35,-1.24,0.19,-1.86,-1.09,0.29,-2.03,-1.24,-2.02,-1.25,0.13,-1.40,-0.92,1.10,-1.63,-0.29,0.87,-0.87,-0.03,-0.40,-0.97,-0.50,-0.28,1.13,2.58,EX_TROU
-0.48,-0.70,-0.67,-1.21,-0.40,-1.80,-0.76,-0.67,-2.24,-1.43,1.63,-1.82,0.13,-1.13,-0.80,0.52,1.72,0.66,-0.80,0.33,0.20,0.74,1.99,1.94,-0.10,0.78,0.93,EX_PEAK
-0.07,-1.14,-0.41,-0.70,-0.38,-1.08,-0.78,0.20,-1.25,-1.27,1.92,-1.87,-2.67,2.29,-1.13,-0.09,1.72,-0.03,-1.38,0.30,-0.25,-0.20,1.37,1.19,0.12,0.52,0.70,EX_PEAK
-0.60,-0.58,-1.21,-1.11,-0.08,-1.49,-1.02,0.04,-1.46,-1.49,1.38,-0.75,-0.89,0.91,-0.03,-0.29,1.90,0.43,0.80,2.01,1.17,0.77,1.40,1.33,0.04,1.43,1.26,EX_PEAK
-0.95,-0.77,-1.25,-1.32,-0.10,-1.56,-0.83,-0.23,-2.15,-0.19,-0.71,-0.90,-1.24,2.56,-1.68,-1.43,2.18,-0.96,-1.16,0.68,-0.14,0.72,1.12,1.06,0.31,0.72,0.77,EX_PEAK
-0.69,-0.99,-0.42,-0.65,-0.84,-1.11,-0.81,0.01,-1.34,-1.48,1.65,-1.57,-0.73,1.08,-1.84,-1.59,2.10,-0.46,-1.03,1.45,-0.00,-0.91,0.80,0.16,-0.10,1.01,1.01,EX_PEAK
-0.91,-1.20,-1.00,-0.85,-0.54,-1.50,-1.47,0.76,-1.52,-2.20,0.49,-0.76,-1.73,3.22,-0.95,-0.04,0.94,-0.07,-0.08,0.46,0.01,-0.32,0.62,0.18,-0.05,1.05,1.36,EX_PEAK
-0.22,-1.32,-0.41,-0.69,-0.69,-1.33,-0.57,-0.60,-0.86,-1.27,-0.39,-1.38,-0.16,0.38,-1.31,-0.89,1.18,0.48,0.89,1.53,1.35,0.86,1.95,1.84,-0.13,0.76,1.32,EX_PEAK
-0.82,-0.94,-0.68,-0.35,-1.26,-0.80,-0.06,-1.21,-0.80,-0.75,0.16,-1.61,-0.49,0.52,-1.40,-0.04,0.96,-0.51,-0.63,1.60,0.22,0.72,2.11,2.01,-0.25,0.77,0.80,EX_PEAK
-1.03,-0.57,-0.96,-1.58,-0.12,-1.64,-1.57,0.82,-1.61,0.07,0.78,-0.86,-1.28,0.73,-1.18,-0.33,-0.08,-0.07,0.90,2.11,1.95,0.36,0.51,0.88,0.10,0.30,1.19,EX_PEAK
-0.02,0.58,1.23,0.81,0.24,2.00,1.86,-0.88,2.21,-0.47,-0.23,1.11,-0.01,-1.30,0.73,0.19,-1.24,0.24,-0.34,-1.08,-0.06,-0.48,-0.70,-0.67,-1.21,-0.40,-1.80,EX_TROU
-0.10,0.78,0.93,-0.12,0.39,1.58,0.43,0.27,1.99,-0.49,-0.66,0.54,-1.78,-0.60,-0.05,-1.05,-0.36,-0.35,-0.07,-1.14,-0.41,-0.70,-0.38,-1.08,-0.78,0.20,-1.25,EX_TROU
0.12,0.52,0.70,0.42,0.51,1.47,-0.43,0.38,1.19,0.34,-0.45,0.82,-1.53,-0.29,0.47,0.31,-1.35,0.72,-0.30,-0.95,0.19,-0.25,-0.78,-0.35,-0.60,-0.58,-1.21,EX_TROU
0.09,0.09,0.65,1.43,-1.17,1.78,-0.34,-0.33,1.04,0.10,-2.01,0.97,1.46,-2.34,1.00,-0.73,-1.30,-0.05,-0.45,-0.94,-0.46,-0.95,-0.77,-1.25,-1.32,-0.10,-1.56,EX_TROU
0.31,0.72,0.77,-0.29,0.36,0.67,0.09,0.32,1.07,0.28,0.47,1.19,0.98,-0.89,1.85,-1.47,-0.08,0.37,-0.49,-1.15,-0.10,-0.37,-1.23,-0.17,-0.69,-0.99,-0.42,EX_TROU
0.23,0.24,0.89,-0.01,0.16,1.22,0.31,-0.36,1.33,0.50,-2.16,1.47,-0.07,-1.39,-0.16,-0.47,-1.85,-0.09,-0.91,-1.20,-1.00,-0.85,-0.54,-1.50,-1.47,0.76,-1.52,EX_TROU
-0.10,0.21,0.64,0.87,-0.78,1.65,0.78,-1.10,1.56,0.41,-1.73,1.03,-0.46,-1.96,0.43,0.73,-1.69,0.23,-0.22,-1.32,-0.41,-0.69,-0.69,-1.33,-0.57,-0.60,-0.86,EX_TROU
0.39,-0.11,1.06,0.82,-0.67,1.56,1.05,-0.43,1.28,0.94,-1.77,1.31,-1.12,-1.28,-0.03,-0.76,-1.55,-0.55,-0.82,-0.94,-0.68,-0.35,-1.26,-0.80,-0.06,-1.21,-0.80,EX_TROU
-0.06,0.32,1.01,0.71,-0.14,2.26,1.03,-1.13,1.96,0.24,-0.74,0.75,-1.36,-0.30,-0.76,-1.12,-1.18,-0.40,-1.03,-0.57,-0.96,-1.58,-0.12,-1.64,-1.57,0.82,-1.61,EX_TROU
0.06,-0.01,0.00,0.03,-0.01,-0.01,-0.01,0.01,-0.02,0.00,-0.01,-0.01,-0.01,0.00,-0.02,0.01,0.01,0.00,0.01,-0.02,-0.01,0.00,-0.03,-0.01,0.02,-0.01,-0.01,NOT_EX
0.01,0.01,0.00,0.01,-0.02,-0.01,0.00,-0.03,-0.01,0.02,-0.01,-0.01,0.00,-0.02,-0.00,0.01,0.00,-0.02,-0.00,0.00,-0.01,0.01,-0.01,-0.01,0.00,-0.01,0.00,NOT_EX
0.00,-0.02,-0.00,0.01,0.00,-0.02,-0.00,0.00,-0.01,0.01,-0.01,-0.01,0.00,-0.01,0.00,-0.01,-0.01,-0.01,0.02,-0.00,0.00,0.04,0.07,0.04,-0.55,0.49,-0.60,NOT_EX
0.00,-0.01,0.00,-0.01,-0.01,-0.01,0.02,-0.00,0.00,0.04,0.07,0.04,-0.55,0.49,-0.60,0.05,0.03,-1.00,0.04,-0.69,0.36,0.01,-0.19,0.18,0.14,-0.40,0.58,NOT_EX
0.05,0.03,-1.00,0.04,-0.69,0.36,0.01,-0.19,0.18,0.14,-0.40,0.58,0.12,-0.27,0.01,0.49,2.02,-0.22,-1.15,0.41,0.02,1.32,-0.02,-0.12,0.16,0.01,0.02,NOT_EX
0.12,-0.27,0.01,0.49,2.02,-0.22,-1.15,0.41,0.02,1.32,-0.02,-0.12,0.16,0.01,0.02,-0.03,0.03,-0.04,-0.03,0.01,-0.18,0.11,0.54,0.02,-0.13,1.58,-0.09,NOT_EX
-0.03,0.03,-0.04,-0.03,0.01,-0.18,0.11,0.54,0.02,-0.13,1.58,-0.09,-1.44,4.17,-0.51,-1.78,4.70,-0.86,0.64,-2.12,-0.12,0.97,-3.14,-0.25,1.88,-2.70,0.09,NOT_EX
-1.44,4.17,-0.51,-1.78,4.70,-0.86,0.64,-2.12,-0.12,0.97,-3.14,-0.25,1.88,-2.70,0.09,0.85,-2.32,1.62,-0.56,1.15,-0.38,-1.34,-0.22,0.41,-0.47,0.29,-0.05,NOT_EX
0.85,-2.32,1.62,-0.56,1.15,-0.38,-1.34,-0.22,0.41,-0.47,0.29,-0.05,0.83,0.02,-0.22,0.21,-0.16,-0.29,-0.01,0.21,-0.17,0.13,0.78,-0.08,-0.41,2.42,-0.16,NOT_EX
0.83,0.02,-0.22,0.21,-0.16,-0.29,-0.01,0.21,-0.17,0.13,0.78,-0.08,-0.41,2.42,-0.16,-1.69,4.89,-0.96,-0.42,-1.26,-2.12,0.04,-2.70,1.29,0.72,-2.57,1.10,NOT_EX
-1.69,4.89,-0.96,-0.42,-1.26,-2.12,0.04,-2.70,1.29,0.72,-2.57,1.10,0.78,-1.61,0.59,-0.53,-0.36,0.75,0.64,3.97,-1.42,-0.16,0.29,0.93,0.46,0.12,-0.04,NOT_EX
-0.53,-0.36,0.75,0.64,3.97,-1.42,-0.16,0.29,0.93,0.46,0.12,-0.04,0.01,-0.13,-0.26,0.16,0.04,-0.06,0.11,0.22,0.01,0.09,1.13,-0.02,-0.81,3.12,0.15,NOT_EX
0.01,-0.13,-0.26,0.16,0.04,-0.06,0.11,0.22,0.01,0.09,1.13,-0.02,-0.81,3.12,0.15,-0.71,5.24,-0.20,2.62,-0.15,-2.45,1.19,-2.96,-2.10,1.67,-2.67,-0.59,NOT_EX
-0.81,3.12,0.15,-0.71,5.24,-0.20,2.62,-0.15,-2.45,1.19,-2.96,-2.10,1.67,-2.67,-0.59,1.11,-1.50,0.35,-0.26,-0.26,1.06,-1.52,0.01,0.97,1.64,0.18,0.18,NOT_EX
1.11,-1.50,0.35,-0.26,-0.26,1.06,-1.52,0.01,0.97,1.64,0.18,0.18,0.11,0.05,-0.06,-0.15,-0.06,-0.17,0.10,0.33,-0.12,0.04,1.47,-0.10,-0.87,4.61,-0.27,NOT_EX
-0.15,-0.06,-0.17,0.10,0.33,-0.12,0.04,1.47,-0.10,-0.87,4.61,-0.27,-4.05,4.90,-1.20,1.05,-3.07,-0.42,1.18,-3.60,0.69,1.21,-2.09,0.65,1.31,-1.77,1.41,NOT_EX
-4.05,4.90,-1.20,1.05,-3.07,-0.42,1.18,-3.60,0.69,1.21,-2.09,0.65,1.31,-1.77,1.41,-0.02,0.46,-0.15,-0.35,1.47,1.50,0.26,0.71,0.13,0.18,0.09,0.11,NOT_EX
1.31,-1.77,1.41,-0.02,0.46,-0.15,-0.35,1.47,1.50,0.26,0.71,0.13,0.18,0.09,0.11,0.13,0.03,-0.00,0.38,0.37,-0.05,0.49,0.50,-0.31,0.15,0.89,-0.32,NOT_EX
0.13,0.03,-0.00,0.38,0.37,-0.05,0.49,0.50,-0.31,0.15,0.89,-0.32,0.53,2.07,-0.28,1.62,-1.07,-2.86,2.79,-1.02,-5.39,3.12,-0.42,-4.71,1.26,0.15,-2.80,NOT_EX
1.62,-1.07,-2.86,2.79,-1.02,-5.39,3.12,-0.42,-4.71,1.26,0.15,-2.80,1.27,-0.29,-2.80,0.49,0.63,-0.88,-0.08,1.38,0.30,2.71,-0.09,0.43,0.56,0.06,0.11,NOT_EX
1.27,-0.29,-2.80,0.49,0.63,-0.88,-0.08,1.38,0.30,2.71,-0.09,0.43,0.56,0.06,0.11,0.12,-0.05,-0.24,0.13,-0.04,-0.19,0.04,-0.03,-0.16,0.07,0.08,-0.09,NOT_EX
0.56,0.06,0.11,0.12,-0.05,-0.24,0.13,-0.04,-0.19,0.04,-0.03,-0.16,0.07,0.08,-0.09,0.30,0.45,-0.08,-0.26,3.49,0.21,0.91,-0.22,-0.02,1.79,-1.93,-2.83,NOT_EX
0.30,0.45,-0.08,-0.26,3.49,0.21,0.91,-0.22,-0.02,1.79,-1.93,-2.83,0.81,-2.84,0.13,1.29,-1.96,-0.02,1.23,-1.26,0.62,-0.44,1.45,0.39,-0.72,1.51,-0.25,NOT_EX
0.81,-2.84,0.13,1.29,-1.96,-0.02,1.23,-1.26,0.62,-0.44,1.45,0.39,-0.72,1.51,-0.25,0.18,0.47,-0.42,-0.34,0.34,-0.00,-0.05,-0.09,-0.25,-0.03,-0.01,-0.22,NOT_EX
0.18,0.47,-0.42,-0.34,0.34,-0.00,-0.05,-0.09,-0.25,-0.03,-0.01,-0.22,0.27,1.04,-0.13,-0.43,3.61,-0.06,-0.78,-0.46,0.11,0.85,-2.58,-1.01,0.56,-3.07,0.89,NOT_EX
-0.43,3.61,-0.06,-0.78,-0.46,0.11,0.85,-2.58,-1.01,0.56,-3.07,0.89,0.96,-2.91,0.14,0.51,-1.08,1.41,-0.14,0.14,1.42,1.39,0.43,-0.41,1.52,0.91,-0.15,NOT_EX
0.96,-2.91,0.14,0.51,-1.08,1.41,-0.14,0.14,1.42,1.39,0.43,-0.41,1.52,0.91,-0.15,0.56,0.04,-0.07,0.17,-0.00,-0.34,0.08,0.03,-0.23,-0.04,0.24,-0.21,NOT_EX
1.52,0.91,-0.15,0.56,0.04,-0.07,0.17,-0.00,-0.34,0.08,0.03,-0.23,-0.04,0.24,-0.21,-0.03,0.47,-0.26,0.00,3.39,-0.58,-0.64,-0.60,0.07,0.57,-1.80,-0.62,NOT_EX
-0.03,0.47,-0.26,0.00,3.39,-0.58,-0.64,-0.60,0.07,0.57,-1.80,-0.62,0.26,-2.41,-0.45,0.18,-2.04,0.11,0.60,-1.43,0.21,0.66,-0.38,-0.46,-0.37,0.38,0.58,NOT_EX
0.26,-2.41,-0.45,0.18,-2.04,0.11,0.60,-1.43,0.21,0.66,-0.38,-0.46,-0.37,0.38,0.58,-0.37,3.74,-1.04,-1.15,0.24,-0.07,-0.73,0.29,-0.28,0.36,0.08,-0.06,NOT_EX
-0.37,3.74,-1.04,-1.15,0.24,-0.07,-0.73,0.29,-0.28,0.36,0.08,-0.06,0.08,-0.06,-0.38,0.10,0.35,-0.18,-0.14,2.75,-0.21,-4.39,5.50,-2.84,0.06,-0.48,-2.29,NOT_EX
0.10,0.35,-0.18,-0.14,2.75,-0.21,-4.39,5.50,-2.84,0.06,-0.48,-2.29,1.79,-2.56,-0.90,1.41,-2.20,-0.28,0.46,-1.67,1.36,0.71,0.07,-0.92,1.16,-1.40,0.35,NOT_EX
1.79,-2.56,-0.90,1.41,-2.20,-0.28,0.46,-1.67,1.36,0.71,0.07,-0.92,1.16,-1.40,0.35,-0.88,0.22,-0.08,1.80,-0.38,0.41,-0.16,-0.01,0.01,0.23,0.14,-0.00,NOT_EX
-0.88,0.22,-0.08,1.80,-0.38,0.41,-0.16,-0.01,0.01,0.23,0.14,-0.00,0.19,0.23,-0.09,0.19,0.56,-0.32,0.03,1.00,-0.12,-0.30,1.92,-0.23,-1.71,2.24,-1.46,NOT_EX
0.19,0.23,-0.09,0.19,0.56,-0.32,0.03,1.00,-0.12,-0.30,1.92,-0.23,-1.71,2.24,-1.46,2.80,-0.87,-4.36,4.23,0.10,-4.45,4.28,0.85,-4.95,2.31,-0.59,-2.17,NOT_EX
-1.71,2.24,-1.46,2.80,-0.87,-4.36,4.23,0.10,-4.45,4.28,0.85,-4.95,2.31,-0.59,-2.17,1.28,-0.45,-1.25,1.26,-0.57,0.70,0.07,0.08,0.39,0.88,-0.13,0.32,NOT_EX
1.28,-0.45,-1.25,1.26,-0.57,0.70,0.07,0.08,0.39,0.88,-0.13,0.32,0.42,0.03,0.11,-0.26,-0.01,0.09,0.24,-0.00,-0.16,0.21,-0.01,-0.11,0.13,0.04,-0.14,NOT_EX
-0.26,-0.01,0.09,0.24,-0.00,-0.16,0.21,-0.01,-0.11,0.13,0.04,-0.14,0.03,0.08,-0.14,-0.10,1.19,-0.13,-0.40,4.00,-1.14,-0.12,-0.21,-2.04,1.41,-1.78,-1.38,NOT_EX
0.03,0.08,-0.14,-0.10,1.19,-0.13,-0.40,4.00,-1.14,-0.12,-0.21,-2.04,1.41,-1.78,-1.38,0.85,-2.07,0.25,0.36,-0.96,0.45,0.91,-0.94,-0.47,0.52,-0.34,0.16,NOT_EX
1.41,-1.78,-1.38,0.85,-2.07,0.25,0.36,-0.96,0.45,0.91,-0.94,-0.47,0.52,-0.34,0.16,-0.32,2.71,-0.25,1.36,0.27,0.02,-0.96,-0.29,-0.09,0.04,-0.00,-0.25,NOT_EX
-0.32,2.71,-0.25,1.36,0.27,0.02,-0.96,-0.29,-0.09,0.04,-0.00,-0.25,0.03,0.07,-0.24,-0.06,0.41,-0.47,-0.03,1.23,0.01,-0.50,3.54,-0.20,-0.51,-0.21,-1.37,NOT_EX
0.03,0.07,-0.24,-0.06,0.41,-0.47,-0.03,1.23,0.01,-0.50,3.54,-0.20,-0.51,-0.21,-1.37,0.74,-1.99,-1.78,1.28,-3.04,0.48,1.00,-1.98,1.68,-1.10,-0.28,2.77,NOT_EX
0.74,-1.99,-1.78,1.28,-3.04,0.48,1.00,-1.98,1.68,-1.10,-0.28,2.77,1.24,0.73,0.16,-0.15,0.50,0.01,-0.22,0.24,-0.10,0.04,0.22,-0.16,-0.03,-0.11,-0.30,NOT_EX
-0.15,0.50,0.01,-0.22,0.24,-0.10,0.04,0.22,-0.16,-0.03,-0.11,-0.30,-0.08,0.10,-0.12,-0.02,0.71,-0.05,-0.16,1.49,-0.30,-5.71,2.65,-2.84,0.31,-1.69,1.60,NOT_EX
-0.08,0.10,-0.12,-0.02,0.71,-0.05,-0.16,1.49,-0.30,-5.71,2.65,-2.84,0.31,-1.69,1.60,0.42,-2.67,-0.36,0.48,-2.30,-1.36,0.30,-1.48,-0.60,-0.04,0.61,-0.13,NOT_EX
0.31,-1.69,1.60,0.42,-2.67,-0.36,0.48,-2.30,-1.36,0.30,-1.48,-0.60,-0.04,0.61,-0.13,0.22,2.71,-0.84,1.58,0.73,0.18,0.40,0.13,0.07,-0.20,0.32,-0.15,NOT_EX
0.22,2.71,-0.84,1.58,0.73,0.18,0.40,0.13,0.07,-0.20,0.32,-0.15,0.07,0.24,-0.28,0.12,0.38,-0.28,-0.11,1.91,0.01,-2.58,5.56,-2.77,-0.83,-0.13,-2.71,NOT_EX
0.07,0.24,-0.28,0.12,0.38,-0.28,-0.11,1.91,0.01,-2.58,5.56,-2.77,-0.83,-0.13,-2.71,0.75,-2.72,-1.21,1.71,-3.12,0.27,0.82,-0.91,1.03,-0.62,3.93,0.85,NOT_EX
0.75,-2.72,-1.21,1.71,-3.12,0.27,0.82,-0.91,1.03,-0.62,3.93,0.85,-0.32,1.42,0.01,-0.08,1.19,-0.02,0.17,-0.01,-0.17,0.00,0.01,-0.12,0.03,0.33,-0.30,NOT_EX
-0.08,1.19,-0.02,0.17,-0.01,-0.17,0.00,0.01,-0.12,0.03,0.33,-0.30,-0.14,0.66,-0.17,-0.77,5.68,-1.22,0.82,-0.57,-0.98,0.84,-2.69,-0.77,1.84,-2.88,-0.69,NOT_EX
-0.14,0.66,-0.17,-0.77,5.68,-1.22,0.82,-0.57,-0.98,0.84,-2.69,-0.77,1.84,-2.88,-0.69,1.81,-1.98,-0.26,0.82,1.01,-1.33,-0.40,0.74,1.37,-0.07,-0.08,0.07,NOT_EX
1.84,-2.88,-0.69,1.81,-1.98,-0.26,0.82,1.01,-1.33,-0.40,0.74,1.37,-0.07,-0.08,0.07,0.49,0.02,-0.07,0.17,0.17,0.11,0.20,-0.05,-0.11,0.22,0.02,-0.13,NOT_EX
0.49,0.02,-0.07,0.17,0.17,0.11,0.20,-0.05,-0.11,0.22,0.02,-0.13,0.06,0.12,-0.12,-0.01,0.40,-0.59,0.07,-0.11,-1.69,1.73,-0.60,-7.16,2.78,-0.07,-4.32,NOT_EX
0.06,0.12,-0.12,-0.01,0.40,-0.59,0.07,-0.11,-1.69,1.73,-0.60,-7.16,2.78,-0.07,-4.32,1.65,-0.39,-3.64,1.73,-0.07,-2.81,0.14,1.41,-2.28,2.49,-0.33,-1.69,NOT_EX
1.65,-0.39,-3.64,1.73,-0.07,-2.81,0.14,1.41,-2.28,2.49,-0.33,-1.69,1.81,0.11,0.26,0.49,0.10,0.06,0.17,-0.04,-0.12,-0.02,-0.01,-0.22,0.15,0.28,-0.15,NOT_EX
1.81,0.11,0.26,0.49,0.10,0.06,0.17,-0.04,-0.12,-0.02,-0.01,-0.22,0.15,0.28,-0.15,0.23,1.06,0.18,-0.86,4.89,-1.61,0.40,-0.60,-4.04,1.62,-2.84,-0.41,NOT_EX
0.23,1.06,0.18,-0.86,4.89,-1.61,0.40,-0.60,-4.04,1.62,-2.84,-0.41,1.80,-2.34,-1.34,1.70,-1.95,-0.79,0.62,-0.59,1.80,1.44,1.20,0.52,0.83,-0.03,-0.11,NOT_EX
1.80,-2.34,-1.34,1.70,-1.95,-0.79,0.62,-0.59,1.80,1.44,1.20,0.52,0.83,-0.03,-0.11,0.02,-0.04,-0.38,-0.12,-0.13,-0.29,-0.04,0.00,-0.20,0.20,0.34,-0.08,NOT_EX
0.02,-0.04,-0.38,-0.12,-0.13,-0.29,-0.04,0.00,-0.20,0.20,0.34,-0.08,-0.09,2.47,-0.29,-0.15,2.84,-0.21,0.34,-1.40,-1.15,1.07,-3.24,0.44,1.24,-1.75,1.33,NOT_EX
