% Data generated on Wed Nov 18 22:17:55 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
0.00,-0.01,0.00,-0.01,-0.01,0.00,0.12,0.07,-1.03,-0.03,-0.10,0.14,NOT_EX
0.12,0.07,-1.03,-0.03,-0.10,0.14,0.12,-0.27,0.01,-0.49,-0.10,-0.40,NOT_EX
0.12,-0.27,0.01,-0.49,-0.10,-0.40,0.17,0.04,-0.03,0.15,0.42,-0.01,NOT_EX
0.17,0.04,-0.03,0.15,0.42,-0.01,-1.44,4.17,-0.51,0.61,-3.14,0.86,NOT_EX
-1.44,4.17,-0.51,0.61,-3.14,0.86,0.86,-2.20,1.49,0.10,1.86,1.48,NOT_EX
0.86,-2.20,1.49,0.10,1.86,1.48,0.83,0.02,-0.22,-0.02,0.22,-0.18,NOT_EX
0.83,0.02,-0.22,-0.02,0.22,-0.18,-1.61,4.82,-0.89,0.06,-2.60,1.11,NOT_EX
-1.61,4.82,-0.89,0.06,-2.60,1.11,0.81,-1.62,0.59,3.38,0.70,0.13,NOT_EX
0.81,-1.62,0.59,3.38,0.70,0.13,-0.04,-0.16,-0.32,0.10,0.20,-0.01,NOT_EX
-0.04,-0.16,-0.32,0.10,0.20,-0.01,-0.81,3.12,0.15,1.25,-2.76,-2.47,NOT_EX
-0.81,3.12,0.15,1.25,-2.76,-2.47,1.88,-2.36,0.25,1.40,2.65,0.25,NOT_EX
1.88,-2.36,0.25,1.40,2.65,0.25,0.11,0.05,-0.06,0.10,0.54,-0.12,NOT_EX
0.11,0.05,-0.06,0.10,0.54,-0.12,-3.69,5.49,-1.25,1.15,-3.75,0.98,NOT_EX
-3.69,5.49,-1.25,1.15,-3.75,0.98,1.31,-1.77,1.41,-1.75,0.73,-0.69,NOT_EX
1.31,-1.77,1.41,-1.75,0.73,-0.69,0.07,0.03,0.00,0.42,0.45,-0.24,NOT_EX
0.07,0.03,0.00,0.42,0.45,-0.24,0.53,2.07,-0.28,2.66,-0.87,-5.32,NOT_EX
0.53,2.07,-0.28,2.66,-0.87,-5.32,1.42,-0.33,-2.66,0.24,0.72,0.21,NOT_EX
1.42,-0.33,-2.66,0.24,0.72,0.21,0.56,0.06,0.11,0.08,-0.02,-0.16,NOT_EX
0.56,0.06,0.11,0.08,-0.02,-0.16,0.36,0.44,-0.06,-0.73,4.39,-0.92,NOT_EX
0.36,0.44,-0.06,-0.73,4.39,-0.92,0.81,-2.84,0.13,1.19,-0.52,0.73,NOT_EX
0.81,-2.84,0.13,1.19,-0.52,0.73,-0.06,0.20,-0.28,-0.11,-0.08,-0.27,NOT_EX
-0.06,0.20,-0.28,-0.11,-0.08,-0.27,0.27,1.04,-0.13,-1.29,-1.09,-0.94,NOT_EX
0.27,1.04,-0.13,-1.29,-1.09,-0.94,0.80,-2.90,0.00,-0.07,0.07,1.48,NOT_EX
0.80,-2.90,0.00,-0.07,0.07,1.48,1.52,0.91,-0.15,0.23,0.02,-0.08,NOT_EX
1.52,0.91,-0.15,0.23,0.02,-0.08,-0.02,0.26,-0.17,-0.76,0.98,1.13,NOT_EX
-0.02,0.26,-0.17,-0.76,0.98,1.13,0.26,-2.41,-0.45,0.12,-0.64,-0.06,NOT_EX
0.26,-2.41,-0.45,0.12,-0.64,-0.06,-0.73,3.97,-1.02,1.05,0.28,-0.21,NOT_EX
-0.73,3.97,-1.02,1.05,0.28,-0.21,0.08,-0.06,-0.38,-0.18,2.89,-0.16,NOT_EX
0.08,-0.06,-0.38,-0.18,2.89,-0.16,1.71,-2.44,-1.04,0.78,-1.40,1.11,NOT_EX
1.71,-2.44,-1.04,0.78,-1.40,1.11,1.16,-1.40,0.35,-0.28,0.07,0.07,NOT_EX
1.16,-1.40,0.35,-0.28,0.07,0.07,0.24,0.18,-0.03,0.03,0.94,-0.13,NOT_EX
0.24,0.18,-0.03,0.03,0.94,-0.13,-1.71,2.24,-1.46,4.17,0.53,-5.02,NOT_EX
-1.71,2.24,-1.46,4.17,0.53,-5.02,1.92,-0.62,-1.64,-0.78,0.09,0.21,NOT_EX
1.92,-0.62,-1.64,-0.78,0.09,0.21,1.03,0.19,0.09,0.17,-0.06,-0.14,NOT_EX
1.03,0.19,0.09,0.17,-0.06,-0.14,0.11,0.06,-0.12,-0.33,2.62,-0.14,NOT_EX
0.11,0.06,-0.12,-0.33,2.62,-0.14,1.41,-1.78,-1.38,0.54,-1.25,0.40,NOT_EX
1.41,-1.78,-1.38,0.54,-1.25,0.40,-0.64,0.27,0.96,-0.78,0.46,-0.06,NOT_EX
-0.64,0.27,0.96,-0.78,0.46,-0.06,0.03,0.07,-0.24,-0.04,1.31,0.03,NOT_EX
0.03,0.07,-0.24,-0.04,1.31,0.03,0.68,-1.71,-1.95,1.13,-2.15,1.60,NOT_EX
0.68,-1.71,-1.95,1.13,-2.15,1.60,1.24,0.73,0.16,-0.02,0.62,-0.19,NOT_EX
1.24,0.73,0.16,-0.02,0.62,-0.19,-0.21,-0.05,-0.23,-0.14,1.38,-0.29,NOT_EX
-0.21,-0.05,-0.23,-0.14,1.38,-0.29,0.31,-1.69,1.60,0.38,-2.27,-1.46,NOT_EX
0.31,-1.69,1.60,0.38,-2.27,-1.46,-0.29,0.62,-0.20,0.31,0.08,0.08,NOT_EX
-0.29,0.62,-0.20,0.31,0.08,0.08,0.07,0.24,-0.28,-0.16,2.53,-0.12,NOT_EX
0.07,0.24,-0.28,-0.16,2.53,-0.12,-0.58,-0.26,-2.58,1.61,-1.90,0.86,NOT_EX
-0.58,-0.26,-2.58,1.61,-1.90,0.86,-0.32,1.42,0.01,0.04,0.01,-0.33,NOT_EX
-0.32,1.42,0.01,0.04,0.01,-0.33,-0.09,0.56,-0.21,0.77,-0.42,-0.91,NOT_EX
-0.09,0.56,-0.21,0.77,-0.42,-0.91,1.89,-2.76,-0.71,-1.73,-0.04,-0.57,NOT_EX
1.89,-2.76,-0.71,-1.73,-0.04,-0.57,-0.17,-0.06,-0.07,0.11,-0.01,-0.08,NOT_EX
-0.17,-0.06,-0.07,0.11,-0.01,-0.08,0.06,0.12,-0.12,0.20,-0.20,-1.79,NOT_EX
0.06,0.12,-0.12,0.20,-0.20,-1.79,1.61,-0.34,-3.65,0.13,1.11,-2.05,NOT_EX
1.61,-0.34,-3.65,0.13,1.11,-2.05,1.81,0.11,0.26,0.19,-0.03,-0.13,NOT_EX
1.81,0.11,0.26,0.19,-0.03,-0.13,0.23,1.00,0.18,1.28,0.10,-1.67,NOT_EX
0.23,1.00,0.18,1.28,0.10,-1.67,1.78,-2.20,-1.35,-0.22,0.87,1.20,NOT_EX
1.78,-2.20,-1.35,-0.22,0.87,1.20,-0.10,0.76,-0.44,-0.05,-0.05,-0.22,NOT_EX
-0.10,0.76,-0.44,-0.05,-0.05,-0.22,-0.09,2.47,-0.29,0.71,-2.30,-0.74,NOT_EX
-0.09,2.47,-0.29,0.71,-2.30,-0.74,1.54,-1.55,2.51,0.65,1.23,-0.59,NOT_EX
1.54,-1.55,2.51,0.65,1.23,-0.59,-0.27,-0.19,-0.30,0.19,0.56,0.12,NOT_EX
-0.27,-0.19,-0.30,0.19,0.56,0.12,-4.69,0.13,-0.90,0.60,-2.59,0.22,NOT_EX
-4.69,0.13,-0.90,0.60,-2.59,0.22,0.80,-0.31,0.40,-1.75,0.77,-0.62,NOT_EX
0.80,-0.31,0.40,-1.75,0.77,-0.62,-0.15,-0.10,-0.29,-0.17,2.01,-0.32,NOT_EX
-0.15,-0.10,-0.29,-0.17,2.01,-0.32,0.41,-1.79,-2.40,1.69,-2.12,-0.36,NOT_EX
0.41,-1.79,-2.40,1.69,-2.12,-0.36,0.63,0.05,0.00,-0.29,0.06,-0.18,NOT_EX
0.63,0.05,0.00,-0.29,0.06,-0.18,0.05,0.11,-0.13,-0.47,2.70,-0.22,NOT_EX
0.05,0.11,-0.13,-0.47,2.70,-0.22,1.55,-2.28,-0.87,1.79,-0.77,-0.97,NOT_EX
1.55,-2.28,-0.87,1.79,-0.77,-0.97,1.16,-0.35,0.81,0.22,-0.00,0.01,NOT_EX
1.16,-0.35,0.81,0.22,-0.00,0.01,0.22,0.02,-0.16,0.35,0.13,-0.98,NOT_EX
0.22,0.02,-0.16,0.35,0.13,-0.98,-0.40,-2.02,-5.76,0.32,0.26,-1.91,NOT_EX
-0.40,-2.02,-5.76,0.32,0.26,-1.91,-1.20,0.29,-0.05,0.19,0.04,0.11,NOT_EX
-1.20,0.29,-0.05,0.19,0.04,0.11,-0.01,0.00,-0.02,-0.05,-0.00,-0.03,NOT_EX
-0.01,0.00,-0.02,-0.05,-0.00,-0.03,-0.05,-0.00,-0.03,-0.02,0.00,-0.02,NOT_EX
-0.05,-0.00,-0.03,-0.02,0.00,-0.02,-0.01,-0.01,-0.01,0.01,0.00,-0.01,NOT_EX
-0.01,-0.01,-0.01,0.01,0.00,-0.01,0.01,0.00,-0.00,-0.06,-0.01,-0.03,NOT_EX
0.01,0.00,-0.00,-0.06,-0.01,-0.03,0.03,0.01,0.01,0.01,-0.01,-0.01,NOT_EX
3.38,-3.88,-0.29,0.62,0.23,-1.59,-1.51,4.15,-1.55,-1.99,-3.57,1.89,EX_PEAK
-1.98,-1.43,-2.53,0.23,0.74,-1.76,0.09,2.30,-0.78,-1.43,0.22,2.99,EX_PEAK
-0.57,-5.79,-1.25,-0.03,-0.12,-0.99,-1.50,0.27,-0.68,-3.74,1.88,1.72,EX_PEAK
-2.56,-2.98,2.63,0.19,-1.96,-3.30,0.40,2.49,-2.41,-4.69,4.89,2.48,EX_PEAK
-1.47,-0.37,-1.32,-3.34,1.50,-0.54,-1.13,3.03,-0.69,-4.10,-2.98,4.56,EX_PEAK
-0.25,-7.26,-1.69,0.71,0.47,-1.48,0.03,5.58,-1.61,-1.08,0.39,1.74,EX_PEAK
0.82,-2.31,-0.74,2.79,0.56,-2.54,-0.84,1.49,-0.48,-2.18,1.00,1.40,EX_PEAK
-1.33,-2.53,0.65,0.34,-2.00,-5.36,0.27,-1.13,0.44,-0.80,2.37,-0.27,EX_PEAK
2.54,-3.46,-3.37,0.01,0.31,-1.55,0.36,0.15,-0.11,-5.21,0.61,2.38,EX_PEAK
0.18,-2.93,-1.14,0.27,-0.67,-5.41,0.01,4.41,-4.01,-0.68,1.92,0.75,EX_PEAK
-1.51,4.15,-1.55,-1.99,-3.57,1.89,-1.98,-1.43,-2.53,0.23,0.74,-1.76,EX_TROU
0.09,2.30,-0.78,-1.43,0.22,2.99,-0.57,-5.79,-1.25,-0.03,-0.12,-0.99,EX_TROU
-1.50,0.27,-0.68,-3.74,1.88,1.72,-2.56,-2.98,2.63,0.19,-1.96,-3.30,EX_TROU
0.40,2.49,-2.41,-4.69,4.89,2.48,-1.05,-1.37,0.03,-1.47,-0.37,-1.32,EX_TROU
-1.13,3.03,-0.69,-4.10,-2.98,4.56,-0.25,-7.26,-1.69,0.71,0.47,-1.48,EX_TROU
0.03,5.58,-1.61,-1.08,0.39,1.74,0.82,-2.31,-0.74,2.79,0.56,-2.54,EX_TROU
-0.84,1.49,-0.48,-2.18,1.00,1.40,-1.33,-2.53,0.65,0.34,-2.00,-5.36,EX_TROU
-0.80,2.37,-0.27,-2.38,-0.63,3.13,2.54,-3.46,-3.37,0.01,0.31,-1.55,EX_TROU
0.36,0.15,-0.11,-5.21,0.61,2.38,0.18,-2.93,-1.14,0.27,-0.67,-5.41,EX_TROU
2.03,-2.33,4.30,-0.30,-1.47,4.67,-0.74,4.32,1.67,0.04,2.27,-0.86,EX_PEAK
-0.65,-3.25,6.11,-0.65,1.13,3.16,-0.51,2.04,0.41,0.68,1.04,-2.26,EX_PEAK
-0.57,-0.16,3.44,-1.46,1.91,1.76,-0.19,2.69,-0.47,2.31,1.22,-5.84,EX_PEAK
-0.77,-0.26,4.35,1.73,1.48,-0.36,-0.14,0.99,-0.22,2.65,0.11,-3.47,EX_PEAK
-0.47,-0.37,3.37,0.84,0.73,-0.17,0.01,1.85,-0.22,-0.24,1.81,-3.15,EX_PEAK
-0.23,-2.66,4.12,0.23,-0.54,3.50,0.74,3.86,1.36,0.40,1.50,-0.89,EX_PEAK
0.09,-0.77,2.13,-0.64,0.26,1.85,-0.46,0.53,-0.10,1.23,1.26,-1.64,EX_PEAK
0.41,-0.56,1.99,-1.57,3.10,4.11,0.84,1.03,-0.01,1.57,1.16,-3.73,EX_PEAK
0.73,-0.88,3.52,-3.05,3.20,5.78,-0.00,1.93,0.09,1.57,1.44,-4.61,EX_PEAK
0.77,1.40,-1.98,3.32,-2.16,-2.78,2.03,-2.33,4.30,-0.30,-1.47,4.67,EX_TROU
0.04,2.27,-0.86,1.70,-0.06,-0.04,-2.06,-2.04,2.20,-0.65,-3.25,6.11,EX_TROU
0.68,1.04,-2.26,4.99,-3.81,-2.74,0.89,-0.62,1.49,-0.57,-0.16,3.44,EX_TROU
2.31,1.22,-5.84,5.86,-2.23,1.41,-0.95,-2.45,4.30,-0.77,-0.26,4.35,EX_TROU
2.65,0.11,-3.47,-1.59,-1.42,0.15,1.63,-1.56,2.63,-0.47,-0.37,3.37,EX_TROU
0.01,1.85,-0.22,-0.24,1.81,-3.15,8.67,-3.59,-3.15,-0.23,-2.66,4.12,EX_TROU
0.40,1.50,-0.89,2.98,1.40,-3.33,0.37,-1.64,0.93,0.09,-0.77,2.13,EX_TROU
1.23,1.26,-1.64,1.13,-1.12,1.04,0.08,-1.49,1.34,0.41,-0.56,1.99,EX_TROU
0.84,1.03,-0.01,1.57,1.16,-3.73,3.27,-1.80,1.55,0.73,-0.88,3.52,EX_TROU
-0.00,1.93,0.09,1.57,1.44,-4.61,6.47,-2.20,-0.89,-1.79,-0.10,1.27,EX_TROU
0.16,0.22,0.20,-0.25,-0.07,0.05,0.03,-0.04,-0.37,-0.38,-0.39,0.29,NOT_EX
0.03,-0.04,-0.37,-0.38,-0.39,0.29,-1.14,-4.17,0.13,-0.77,2.43,-0.94,NOT_EX
-1.14,-4.17,0.13,-0.77,2.43,-0.94,0.56,2.16,0.06,1.10,-0.49,0.50,NOT_EX
0.56,2.16,0.06,1.10,-0.49,0.50,0.44,0.12,-0.19,-0.27,-0.94,0.21,NOT_EX
0.44,0.12,-0.19,-0.27,-0.94,0.21,0.42,-5.49,0.45,-0.42,3.09,-1.26,NOT_EX
0.42,-5.49,0.45,-0.42,3.09,-1.26,-1.12,1.77,1.30,-0.18,-0.45,-0.53,NOT_EX
-1.12,1.77,1.30,-0.18,-0.45,-0.53,-0.14,-0.11,-0.02,-0.22,-0.46,0.13,NOT_EX
-0.14,-0.11,-0.02,-0.22,-0.46,0.13,0.06,-4.82,0.83,-0.75,2.93,-0.09,NOT_EX
0.06,-4.82,0.83,-0.75,2.93,-0.09,0.07,1.04,1.16,0.29,-6.00,0.43,NOT_EX
0.07,1.04,1.16,0.29,-6.00,0.43,1.02,-0.08,0.27,-0.40,-0.20,-0.30,NOT_EX
1.02,-0.08,0.27,-0.40,-0.20,-0.30,-0.81,-0.55,-0.06,-5.41,1.67,-5.39,NOT_EX
-0.81,-0.55,-0.06,-5.41,1.67,-5.39,-1.71,0.33,-2.80,-0.44,0.06,-0.64,NOT_EX
-1.71,0.33,-2.80,-0.44,0.06,-0.64,-1.00,-0.40,-1.15,-1.80,1.39,1.10,NOT_EX
-1.00,-0.40,-1.15,-1.80,1.39,1.10,-0.08,-0.00,0.12,-0.62,-0.10,-0.25,NOT_EX
-0.08,-0.00,0.12,-0.62,-0.10,-0.25,-0.11,-0.82,0.05,0.02,1.74,-1.70,NOT_EX
-0.11,-0.82,0.05,0.02,1.74,-1.70,-0.83,2.92,0.04,0.10,0.28,-0.31,NOT_EX
-0.83,2.92,0.04,0.10,0.28,-0.31,-0.77,0.24,-0.07,-0.05,-0.14,-0.19,NOT_EX
-0.77,0.24,-0.07,-0.05,-0.14,-0.19,0.33,-3.73,0.33,0.28,2.97,0.52,NOT_EX
0.33,-3.73,0.33,0.28,2.97,0.52,0.90,2.13,2.45,1.09,-0.50,1.14,NOT_EX
0.90,2.13,2.45,1.09,-0.50,1.14,-0.26,0.00,-0.15,-0.47,-0.87,0.16,NOT_EX
-0.26,0.00,-0.15,-0.47,-0.87,0.16,-1.60,-1.76,0.33,-2.03,2.79,-0.86,NOT_EX
-1.60,-1.76,0.33,-2.03,2.79,-0.86,-3.59,-1.63,0.27,-0.65,0.66,-1.17,NOT_EX
-3.59,-1.63,0.27,-0.65,0.66,-1.17,-0.20,-0.01,-0.04,-0.53,-0.17,-0.42,NOT_EX
-0.20,-0.01,-0.04,-0.53,-0.17,-0.42,-2.32,1.47,-3.76,-1.63,-0.40,-3.38,NOT_EX
-2.32,1.47,-3.76,-1.63,-0.40,-3.38,3.29,1.37,-2.32,-1.36,-0.16,-0.27,NOT_EX
3.29,1.37,-2.32,-1.36,-0.16,-0.27,-0.62,0.11,-0.44,1.78,1.47,-0.53,NOT_EX
-0.62,0.11,-0.44,1.78,1.47,-0.53,-1.85,0.39,0.23,-0.37,-0.22,0.18,NOT_EX
-1.85,0.39,0.23,-0.37,-0.22,0.18,0.10,-0.16,-0.20,-0.58,-1.28,0.36,NOT_EX
0.10,-0.16,-0.20,-0.58,-1.28,0.36,-0.05,2.20,-2.99,-0.05,2.22,0.68,NOT_EX
-0.05,2.20,-2.99,-0.05,2.22,0.68,1.39,-0.18,-0.70,0.07,-0.44,0.14,NOT_EX
1.39,-0.18,-0.70,0.07,-0.44,0.14,-0.38,-1.20,0.36,-1.21,-1.60,-0.23,NOT_EX
-0.38,-1.20,0.36,-1.21,-1.60,-0.23,-0.65,3.56,0.08,4.30,0.18,-1.66,NOT_EX
-0.65,3.56,0.08,4.30,0.18,-1.66,0.98,-0.53,0.18,-0.72,-0.96,-0.02,NOT_EX
0.98,-0.53,0.18,-0.72,-0.96,-0.02,0.63,-3.49,-0.43,0.01,1.29,3.69,NOT_EX
0.63,-3.49,-0.43,0.01,1.29,3.69,0.45,3.09,0.19,1.98,5.49,-0.29,NOT_EX
0.45,3.09,0.19,1.98,5.49,-0.29,-0.13,-0.42,-0.12,-0.54,-1.13,0.29,NOT_EX
-0.13,-0.42,-0.12,-0.54,-1.13,0.29,-2.59,1.14,-3.20,-1.23,2.95,0.50,NOT_EX
-2.59,1.14,-3.20,-1.23,2.95,0.50,-2.35,-0.79,0.65,0.58,-0.19,0.09,NOT_EX
-2.35,-0.79,0.65,0.58,-0.19,0.09,-0.37,-0.27,0.04,-0.72,-0.53,-0.21,NOT_EX
-0.37,-0.27,0.04,-0.72,-0.53,-0.21,-5.82,3.03,-6.73,-3.42,0.79,-3.74,NOT_EX
-5.82,3.03,-6.73,-3.42,0.79,-3.74,-1.04,0.72,0.33,-0.45,-0.06,-0.04,NOT_EX
-1.04,0.72,0.33,-0.45,-0.06,-0.04,-0.27,-0.41,0.25,0.64,-0.06,-0.20,NOT_EX
-0.27,-0.41,0.25,0.64,-0.06,-0.20,-4.24,0.10,-1.26,0.38,2.17,0.57,NOT_EX
-4.24,0.10,-1.26,0.38,2.17,0.57,0.96,-5.95,0.97,0.54,0.12,0.02,NOT_EX
0.96,-5.95,0.97,0.54,0.12,0.02,-0.26,-0.18,-0.05,-0.35,-1.19,0.25,NOT_EX
-0.26,-0.18,-0.05,-0.35,-1.19,0.25,-2.78,1.32,-1.79,-1.84,3.81,0.27,NOT_EX
-2.78,1.32,-1.79,-1.84,3.81,0.27,-1.69,-2.85,0.00,-1.04,-0.12,0.14,NOT_EX
-1.69,-2.85,0.00,-1.04,-0.12,0.14,-0.04,-0.11,-0.40,-0.28,-2.27,0.18,NOT_EX
-0.04,-0.11,-0.40,-0.28,-2.27,0.18,4.08,1.76,-0.46,-0.32,-0.97,2.93,NOT_EX
4.08,1.76,-0.46,-0.32,-0.97,2.93,0.03,-1.42,0.01,0.66,0.09,-0.20,NOT_EX
0.03,-1.42,0.01,0.66,0.09,-0.20,-0.22,-0.38,-0.34,-0.02,-4.35,-0.25,NOT_EX
-0.22,-0.38,-0.34,-0.02,-4.35,-0.25,-0.82,2.70,-0.15,-0.20,1.41,1.01,NOT_EX
-0.82,2.70,-0.15,-0.20,1.41,1.01,-0.70,-2.82,-0.58,-0.16,-0.47,-0.06,NOT_EX
-0.70,-2.82,-0.58,-0.16,-0.47,-0.06,0.18,-2.72,0.27,0.19,1.49,-0.13,NOT_EX
0.18,-2.72,0.27,0.19,1.49,-0.13,0.63,3.06,-0.19,3.01,-1.58,-2.42,NOT_EX
0.63,3.06,-0.19,3.01,-1.58,-2.42,-0.13,-0.12,0.06,-0.24,-0.33,-0.46,NOT_EX
-0.13,-0.12,0.06,-0.24,-0.33,-0.46,-0.24,-1.85,-0.46,-7.13,1.61,-1.23,NOT_EX
-0.84,2.62,-2.81,0.44,-3.32,-0.35,1.33,1.26,3.14,0.61,2.49,-4.11,EX_PEAK
0.66,-4.13,-0.79,2.35,1.45,3.73,1.00,2.95,-3.49,1.97,-4.67,-0.10,EX_PEAK
1.97,-4.67,-0.10,1.86,2.77,3.98,-2.60,0.31,-2.09,2.10,-4.52,-0.35,EX_PEAK
2.10,-4.52,-0.35,2.89,1.33,3.58,0.99,4.21,-1.00,0.57,-4.91,-3.73,EX_PEAK
0.57,-4.91,-3.73,1.96,-1.11,1.51,2.82,9.50,-2.21,0.04,-1.25,-3.46,EX_PEAK
