% Data generated on Wed Nov 18 22:18:01 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
-0.06,-1.02,-0.48,-0.68,-0.25,-1.24,-2.67,2.29,-1.13,-1.22,0.10,-0.26,-0.07,1.04,1.29,EX_PEAK
-1.21,-0.45,-1.47,-0.63,0.33,-1.06,-0.32,-0.46,-0.51,0.80,2.01,1.17,0.04,1.43,1.26,EX_PEAK
-0.19,-0.65,-0.87,-0.31,-0.45,-0.93,-0.72,3.28,0.51,-1.16,0.68,-0.14,0.39,0.95,0.96,EX_PEAK
-0.77,-0.71,-1.06,-0.55,-0.05,-1.21,-0.66,0.24,-0.27,0.23,1.46,0.68,-0.10,1.01,1.01,EX_PEAK
-0.85,-0.54,-1.50,-1.21,1.24,-1.39,0.10,1.06,-0.30,0.30,0.95,0.95,-0.31,0.68,1.10,EX_PEAK
-0.69,-0.58,-1.32,-1.27,-0.39,-1.38,-0.86,1.27,0.40,-0.94,0.83,0.28,-0.01,0.44,0.79,EX_PEAK
-0.77,0.22,-0.99,-0.82,0.22,-1.49,-0.19,1.41,-0.30,0.82,2.14,2.04,0.55,0.10,0.29,EX_PEAK
-0.03,-1.17,-1.09,0.21,-0.89,-1.18,-0.87,1.79,-0.36,0.82,2.01,1.91,0.10,0.30,1.19,EX_PEAK
0.65,-0.68,1.92,-0.23,-1.44,0.60,0.15,-1.23,0.24,-0.48,-0.70,-0.67,-0.82,-0.76,-2.23,EX_TROU
-0.12,0.39,1.58,0.92,-2.32,1.38,1.33,-1.96,0.54,-0.06,-1.02,-0.48,-0.68,-0.25,-1.24,EX_TROU
-0.07,1.04,1.29,1.15,-0.37,1.61,0.26,-0.30,0.78,0.31,-1.35,0.72,-0.17,-1.65,-0.00,EX_TROU
0.30,0.05,0.81,0.64,-1.40,1.04,1.46,-2.34,1.00,-0.74,-0.82,-0.11,-0.19,-0.65,-0.87,EX_TROU
0.39,0.95,0.96,0.36,0.16,0.93,1.27,-1.16,1.75,-1.52,0.01,0.35,-0.37,-1.23,-0.17,EX_TROU
0.24,0.22,0.84,1.72,-0.85,1.90,-0.88,-0.94,0.66,-0.82,-1.22,-0.66,-0.85,-0.54,-1.50,EX_TROU
-0.10,0.21,0.64,0.50,-0.94,1.41,-0.49,-1.27,0.62,-1.11,-0.78,-0.38,-0.69,-0.58,-1.32,EX_TROU
0.47,-0.11,1.10,1.05,-0.43,1.28,-0.36,-2.23,0.69,-0.26,-1.35,-0.27,-0.77,0.22,-0.99,EX_TROU
0.79,-0.19,2.26,-0.53,-1.52,0.68,-1.41,-1.07,-0.48,-0.03,-1.17,-1.09,0.21,-0.89,-1.18,EX_TROU
0.05,-0.01,0.00,0.01,-0.00,-0.01,-0.01,0.00,-0.02,0.01,-0.02,-0.01,0.02,-0.03,0.00,NOT_EX
0.01,-0.02,-0.01,0.02,-0.03,0.00,0.00,-0.00,-0.00,0.01,-0.00,0.00,0.00,-0.01,0.00,NOT_EX
0.00,-0.00,-0.00,0.01,-0.00,0.00,0.00,-0.01,0.00,0.01,0.00,0.01,-0.04,0.13,0.05,NOT_EX
0.01,0.00,0.01,-0.04,0.13,0.05,0.19,-0.63,0.01,0.33,-0.57,0.36,0.12,-0.27,0.01,NOT_EX
0.19,-0.63,0.01,0.33,-0.57,0.36,0.12,-0.27,0.01,-1.21,0.20,-0.15,0.18,0.05,0.09,NOT_EX
0.12,-0.27,0.01,-1.21,0.20,-0.15,0.18,0.05,0.09,-0.07,-0.03,-0.22,0.11,0.55,0.02,NOT_EX
-0.07,-0.03,-0.22,0.11,0.55,0.02,-1.44,4.17,-0.51,1.52,-1.24,-2.33,1.92,-2.70,-0.01,NOT_EX
1.52,-1.24,-2.33,1.92,-2.70,-0.01,-0.54,-0.36,1.66,0.26,0.47,0.68,0.83,0.02,-0.22,NOT_EX
-0.54,-0.36,1.66,0.26,0.47,0.68,0.83,0.02,-0.22,0.03,0.17,-0.16,-0.32,2.25,-0.15,NOT_EX
0.83,0.02,-0.22,0.03,0.17,-0.16,-0.32,2.25,-0.15,-0.35,0.54,-0.57,0.12,-3.36,1.75,NOT_EX
-0.35,0.54,-0.57,0.12,-3.36,1.75,0.81,-1.62,0.59,0.20,3.19,-1.25,0.48,0.12,-0.02,NOT_EX
0.81,-1.62,0.59,0.20,3.19,-1.25,0.48,0.12,-0.02,-0.04,-0.09,-0.29,0.21,0.50,0.01,NOT_EX
-0.04,-0.09,-0.29,0.21,0.50,0.01,-0.81,3.12,0.15,1.11,0.16,-1.81,1.54,-2.89,-0.43,NOT_EX
1.11,0.16,-1.81,1.54,-2.89,-0.43,1.60,-1.08,1.16,-2.09,0.72,0.74,0.11,0.05,-0.06,NOT_EX
1.60,-1.08,1.16,-2.09,0.72,0.74,0.11,0.05,-0.06,-0.03,0.00,-0.11,0.06,1.54,-0.14,NOT_EX
-0.03,0.00,-0.11,0.06,1.54,-0.14,0.90,-0.26,-2.44,1.22,-3.55,0.57,1.31,-1.77,1.41,NOT_EX
0.90,-0.26,-2.44,1.22,-3.55,0.57,1.31,-1.77,1.41,-0.35,1.47,1.50,-0.09,0.08,0.10,NOT_EX
1.31,-1.77,1.41,-0.35,1.47,1.50,-0.09,0.08,0.10,0.11,0.04,-0.01,0.49,0.50,-0.31,NOT_EX
0.11,0.04,-0.01,0.49,0.50,-0.31,0.53,2.07,-0.28,3.55,-1.57,-4.50,1.53,-0.11,-3.20,NOT_EX
3.55,-1.57,-4.50,1.53,-0.11,-3.20,1.58,-0.56,-1.94,-0.08,1.38,0.30,0.56,0.06,0.11,NOT_EX
1.58,-0.56,-1.94,-0.08,1.38,0.30,0.56,0.06,0.11,0.13,-0.03,-0.17,0.12,0.04,-0.12,NOT_EX
0.13,-0.03,-0.17,0.12,0.04,-0.12,0.08,1.52,0.03,0.66,-0.69,-0.31,0.81,-2.84,0.13,NOT_EX
0.08,1.52,0.03,0.66,-0.69,-0.31,0.81,-2.84,0.13,0.34,-1.33,0.70,-0.40,1.14,0.92,NOT_EX
0.34,-1.33,0.70,-0.40,1.14,0.92,-0.27,0.30,-0.35,-0.01,-0.04,-0.21,0.27,1.04,-0.13,NOT_EX
-0.27,0.30,-0.35,-0.01,-0.04,-0.21,0.27,1.04,-0.13,-2.55,1.31,0.69,0.09,-2.61,0.15,NOT_EX
0.27,1.04,-0.13,-2.55,1.31,0.69,0.09,-2.61,0.15,1.07,-2.81,0.69,0.25,5.49,0.67,NOT_EX
1.07,-2.81,0.69,0.25,5.49,0.67,1.52,0.91,-0.15,0.15,-0.06,-0.44,0.10,0.14,-0.25,NOT_EX
1.52,0.91,-0.15,0.15,-0.06,-0.44,0.10,0.14,-0.25,-0.07,0.82,-0.03,-1.01,-0.62,0.07,NOT_EX
-0.07,0.82,-0.03,-1.01,-0.62,0.07,0.26,-2.41,-0.45,0.92,-1.49,0.23,0.04,-0.16,0.34,NOT_EX
0.26,-2.41,-0.45,0.92,-1.49,0.23,0.04,-0.16,0.34,-0.34,0.16,0.10,-0.38,0.31,-0.38,NOT_EX
-0.34,0.16,0.10,-0.38,0.31,-0.38,0.08,-0.06,-0.38,-0.01,1.55,-0.05,-0.02,-0.64,-2.33,NOT_EX
-0.01,1.55,-0.05,-0.02,-0.64,-2.33,1.88,-2.67,-0.67,0.87,-1.17,0.95,1.16,-1.40,0.35,NOT_EX
1.88,-2.67,-0.67,0.87,-1.17,0.95,1.16,-1.40,0.35,2.07,-0.16,0.48,0.14,0.07,-0.03,NOT_EX
1.16,-1.40,0.35,2.07,-0.16,0.48,0.14,0.07,-0.03,0.19,0.26,-0.10,-0.04,1.28,-0.05,NOT_EX
0.19,0.26,-0.10,-0.04,1.28,-0.05,-1.71,2.24,-1.46,4.33,0.07,-4.44,2.88,0.12,-3.86,NOT_EX
-1.71,2.24,-1.46,4.33,0.07,-4.44,2.88,0.12,-3.86,1.01,-0.33,-1.02,-0.15,0.27,0.25,NOT_EX
1.01,-0.33,-1.02,-0.15,0.27,0.25,1.03,0.19,0.09,0.28,0.05,-0.08,0.05,-0.07,-0.20,NOT_EX
1.03,0.19,0.09,0.28,0.05,-0.08,0.05,-0.07,-0.20,-0.09,0.15,-0.24,-0.92,3.80,-2.05,NOT_EX
-0.09,0.15,-0.24,-0.92,3.80,-2.05,1.41,-1.78,-1.38,1.05,-1.51,0.01,0.56,-0.30,0.07,NOT_EX
1.05,-1.51,0.01,0.56,-0.30,0.07,-2.19,0.57,0.43,-0.84,-0.09,-0.18,0.03,0.07,-0.24,NOT_EX
-2.19,0.57,0.43,-0.84,-0.09,-0.18,0.03,0.07,-0.24,-0.02,1.17,0.00,-1.22,0.05,-0.91,NOT_EX
-0.02,1.17,0.00,-1.22,0.05,-0.91,0.98,-3.38,0.90,0.54,-1.48,2.46,1.24,0.73,0.16,NOT_EX
0.98,-3.38,0.90,0.54,-1.48,2.46,1.24,0.73,0.16,0.33,0.51,-0.28,0.02,-0.04,-0.09,NOT_EX
1.24,0.73,0.16,0.33,0.51,-0.28,0.02,-0.04,-0.09,-0.04,0.10,-0.12,-0.20,1.73,-0.29,NOT_EX
-0.04,0.10,-0.12,-0.20,1.73,-0.29,0.31,-1.69,1.60,0.71,-2.35,-1.13,0.63,-0.63,-0.09,NOT_EX
0.31,-1.69,1.60,0.71,-2.35,-1.13,0.63,-0.63,-0.09,-0.47,0.99,0.11,0.46,0.16,0.07,NOT_EX
-0.47,0.99,0.11,0.46,0.16,0.07,0.07,0.24,-0.28,-0.05,0.90,-0.16,-1.80,-0.17,-1.97,NOT_EX
-0.05,0.90,-0.16,-1.80,-0.17,-1.97,1.47,-3.57,0.09,0.82,-0.91,1.03,-0.32,1.42,0.01,NOT_EX
1.47,-3.57,0.09,0.82,-0.91,1.03,-0.32,1.42,0.01,0.18,-0.01,-0.16,0.12,0.26,-0.07,NOT_EX
0.18,-0.01,-0.16,0.12,0.26,-0.07,-0.17,0.80,-0.13,0.77,-0.81,-1.07,1.89,-2.76,-0.71,NOT_EX
-0.17,0.80,-0.13,0.77,-0.81,-1.07,1.89,-2.76,-0.71,2.34,-0.61,-0.61,0.07,-0.15,-0.36,NOT_EX
1.89,-2.76,-0.71,2.34,-0.61,-0.61,0.07,-0.15,-0.36,0.35,0.15,0.12,0.19,-0.03,-0.14,NOT_EX
0.35,0.15,0.12,0.19,-0.03,-0.14,0.06,0.12,-0.12,-0.15,0.17,-1.36,2.79,-0.09,-4.55,NOT_EX
-0.15,0.17,-1.36,2.79,-0.09,-4.55,0.89,-0.27,-3.17,4.20,0.04,-1.32,1.81,0.11,0.26,NOT_EX
0.89,-0.27,-3.17,4.20,0.04,-1.32,1.81,0.11,0.26,0.03,-0.06,-0.08,0.16,0.27,-0.13,NOT_EX
0.03,-0.06,-0.08,0.16,0.27,-0.13,-0.37,2.51,0.14,1.17,-0.73,-3.61,1.78,-2.20,-1.35,NOT_EX
-0.37,2.51,0.14,1.17,-0.73,-3.61,1.78,-2.20,-1.35,0.82,-0.69,1.82,0.83,0.42,-0.48,NOT_EX
1.78,-2.20,-1.35,0.82,-0.69,1.82,0.83,0.42,-0.48,0.05,-0.07,-0.22,-0.04,-0.02,-0.17,NOT_EX
0.05,-0.07,-0.22,-0.04,-0.02,-0.17,-0.09,2.47,-0.29,-1.06,-0.45,-1.88,1.91,-2.92,0.30,NOT_EX
-1.06,-0.45,-1.88,1.91,-2.92,0.30,0.94,-0.82,2.45,-0.99,-0.28,-0.06,-0.27,-0.19,-0.30,NOT_EX
0.94,-0.82,2.45,-0.99,-0.28,-0.06,-0.27,-0.19,-0.30,0.13,0.41,0.05,-1.05,3.87,-0.80,NOT_EX
-0.27,-0.19,-0.30,0.13,0.41,0.05,-1.05,3.87,-0.80,-1.10,-1.62,1.51,0.72,-2.54,-1.13,NOT_EX
-1.10,-1.62,1.51,0.72,-2.54,-1.13,0.80,-0.31,0.40,1.68,0.50,-0.11,0.19,-0.03,-0.29,NOT_EX
0.80,-0.31,0.40,1.68,0.50,-0.11,0.19,-0.03,-0.29,-0.17,-0.09,-0.28,-0.36,2.56,-0.38,NOT_EX
-0.17,-0.09,-0.28,-0.36,2.56,-0.38,0.41,-1.79,-2.40,1.63,-2.11,-0.45,0.53,-0.18,0.81,NOT_EX
1.63,-2.11,-0.45,0.53,-0.18,0.81,0.43,1.23,-0.35,-0.25,0.10,-0.12,0.05,0.11,-0.13,NOT_EX
0.43,1.23,-0.35,-0.25,0.10,-0.12,0.05,0.11,-0.13,0.00,1.12,-0.19,0.55,-1.17,-1.93,NOT_EX
0.05,0.11,-0.13,0.00,1.12,-0.19,0.55,-1.17,-1.93,1.57,-2.31,-0.65,1.53,-0.33,-1.85,NOT_EX
1.57,-2.31,-0.65,1.53,-0.33,-1.85,1.16,-0.35,0.81,0.16,-0.00,-0.06,0.28,-0.01,-0.11,NOT_EX
0.16,-0.00,-0.06,0.28,-0.01,-0.11,0.14,0.01,-0.20,0.12,0.17,-1.05,-0.40,-2.02,-5.76,NOT_EX
0.14,0.01,-0.20,0.12,0.17,-1.05,-0.40,-2.02,-5.76,0.78,-0.20,-1.98,1.29,0.32,0.39,NOT_EX
0.78,-0.20,-1.98,1.29,0.32,0.39,-0.02,-0.70,0.20,0.12,-0.00,0.05,-0.01,0.00,-0.02,NOT_EX
-0.02,-0.70,0.20,0.12,-0.00,0.05,-0.01,0.00,-0.02,-0.03,0.01,-0.03,-0.03,-0.00,-0.02,NOT_EX
-0.01,0.00,-0.02,-0.03,0.01,-0.03,-0.03,-0.00,-0.02,-0.03,-0.01,-0.03,-0.02,-0.01,-0.02,NOT_EX
-0.03,-0.01,-0.03,-0.02,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,0.01,-0.02,0.01,-0.02,-0.01,NOT_EX
-0.01,-0.01,-0.01,-0.02,0.01,-0.02,0.01,-0.02,-0.01,-0.03,0.01,-0.01,-0.07,-0.01,-0.05,NOT_EX
-0.03,0.01,-0.01,-0.07,-0.01,-0.05,0.03,0.01,0.01,-0.03,-0.02,-0.01,0.01,-0.00,0.00,NOT_EX
-2.19,-2.54,0.74,0.62,0.23,-1.59,-0.30,3.26,-0.66,-7.12,-1.33,6.90,-0.48,-3.97,-0.86,EX_PEAK
0.60,-0.95,-2.83,0.23,0.74,-1.76,-0.17,0.95,0.46,-4.81,2.77,1.75,-2.12,-2.88,2.47,EX_PEAK
-0.03,-0.12,-0.99,0.64,3.04,-4.33,-1.12,5.14,-0.76,-4.08,-1.58,3.58,0.90,-4.25,-0.53,EX_PEAK
0.19,-1.96,-3.30,-0.15,-0.55,-0.25,-0.63,3.69,-1.60,-3.31,-2.16,4.39,1.26,-3.34,-1.60,EX_PEAK
-1.47,-0.37,-1.32,1.49,0.95,-3.18,-1.14,2.71,-0.38,-1.11,1.60,1.12,-4.16,-3.09,3.15,EX_PEAK
-0.25,-7.26,-1.69,-0.05,0.82,-2.09,-0.80,1.89,-1.81,0.33,1.37,-0.63,-3.78,-2.45,3.40,EX_PEAK
0.82,-2.31,-0.74,1.79,1.20,-2.52,-0.83,4.90,-3.53,-0.28,4.01,-1.61,-3.64,0.14,1.60,EX_PEAK
-0.65,-0.86,-3.49,2.17,5.05,-6.61,-1.35,2.06,-0.25,-2.76,0.08,1.93,-2.38,-0.63,3.13,EX_PEAK
-0.28,-2.75,-2.13,0.54,2.19,-3.16,0.13,3.89,-0.65,-5.21,0.61,2.38,-2.14,-1.76,1.34,EX_PEAK
-1.52,0.30,-0.87,0.95,-0.13,-2.63,-0.63,4.65,-1.14,-0.68,1.92,0.75,-4.73,0.67,2.47,EX_PEAK
-0.30,3.26,-0.66,-7.12,-1.33,6.90,-0.48,-3.97,-0.86,0.60,-0.95,-2.83,0.23,0.74,-1.76,EX_TROU
-4.81,2.77,1.75,-2.12,-2.88,2.47,0.58,-2.74,-1.98,-0.03,-0.12,-0.99,0.64,3.04,-4.33,EX_TROU
-1.12,5.14,-0.76,-4.08,-1.58,3.58,0.90,-4.25,-0.53,0.19,-1.96,-3.30,-0.15,-0.55,-0.25,EX_TROU
-0.63,3.69,-1.60,-3.31,-2.16,4.39,1.26,-3.34,-1.60,-1.47,-0.37,-1.32,1.49,0.95,-3.18,EX_TROU
-1.11,1.60,1.12,-4.16,-3.09,3.15,-0.25,-7.26,-1.69,-0.05,0.82,-2.09,-0.80,1.89,-1.81,EX_TROU
0.33,1.37,-0.63,-3.78,-2.45,3.40,0.82,-2.31,-0.74,1.79,1.20,-2.52,-0.83,4.90,-3.53,EX_TROU
-3.64,0.14,1.60,-1.33,-2.53,0.65,-0.65,-0.86,-3.49,2.17,5.05,-6.61,-1.35,2.06,-0.25,EX_TROU
-2.76,0.08,1.93,-2.38,-0.63,3.13,-1.07,-6.54,-2.40,-0.28,-2.75,-2.13,0.54,2.19,-3.16,EX_TROU
-5.21,0.61,2.38,-2.14,-1.76,1.34,-1.52,0.30,-0.87,0.95,-0.13,-2.63,-0.63,4.65,-1.14,EX_TROU
0.77,-1.78,3.85,-0.35,0.83,2.30,1.01,2.73,0.44,0.04,2.27,-0.86,3.77,0.38,-5.10,EX_PEAK
1.38,1.43,1.32,-0.65,1.13,3.16,1.18,1.94,-0.15,0.98,1.11,-0.59,4.17,0.90,-5.90,EX_PEAK
-0.91,-0.38,2.50,-1.22,1.69,2.10,0.55,2.94,0.84,0.51,1.84,-0.48,2.31,1.22,-5.84,EX_PEAK
-1.11,0.70,4.90,1.73,1.48,-0.36,1.14,3.04,-0.91,1.50,1.20,-3.98,3.77,-1.71,-3.18,EX_PEAK
0.03,-0.12,2.90,-0.54,0.75,2.71,-0.10,4.70,0.63,0.12,0.69,-0.28,-0.24,1.81,-3.15,EX_PEAK
0.85,0.13,1.26,0.32,0.41,1.74,0.74,3.86,1.36,0.08,2.72,-0.07,0.69,1.14,-4.79,EX_PEAK
0.09,-0.77,2.13,-0.35,0.85,2.10,-0.99,4.93,1.29,0.32,1.35,-0.71,1.29,1.26,-2.39,EX_PEAK
-0.86,-1.39,1.89,0.59,-0.64,3.51,-0.47,1.36,1.94,0.84,1.03,-0.01,0.42,1.12,-4.33,EX_PEAK
-3.05,3.20,5.78,-0.28,2.44,-0.14,0.44,3.00,-0.77,2.13,0.78,-2.30,2.18,-1.75,0.71,EX_PEAK
3.37,1.30,-5.13,3.32,-2.16,-2.78,-0.75,-1.10,1.93,0.77,-1.78,3.85,-0.35,0.83,2.30,EX_TROU
3.77,0.38,-5.10,7.09,-0.72,0.11,0.81,-1.11,2.11,1.38,1.43,1.32,-0.65,1.13,3.16,EX_TROU
0.98,1.11,-0.59,4.17,0.90,-5.90,8.52,-0.72,-1.93,0.89,-0.62,1.49,-0.91,-0.38,2.50,EX_TROU
2.31,1.22,-5.84,4.57,-1.25,-1.47,0.05,-2.73,2.37,0.91,-0.05,0.96,-1.11,0.70,4.90,EX_TROU
3.77,-1.71,-3.18,-1.42,-0.63,0.65,1.63,-1.56,2.63,0.03,-0.12,2.90,-0.54,0.75,2.71,EX_TROU
0.12,0.69,-0.28,-0.24,1.81,-3.15,3.97,-2.24,-2.17,2.15,-0.02,0.37,0.85,0.13,1.26,EX_TROU
0.69,1.14,-4.79,3.49,-2.48,-2.00,0.99,0.20,0.48,0.09,-0.77,2.13,-0.35,0.85,2.10,EX_TROU
1.29,1.26,-2.39,1.13,-1.12,1.04,0.39,-0.05,-0.56,-0.86,-1.39,1.89,0.59,-0.64,3.51,EX_TROU
0.42,1.12,-4.33,4.12,-2.90,-2.35,1.13,-0.49,-0.36,-0.06,-0.49,2.81,-3.05,3.20,5.78,EX_TROU
0.44,3.00,-0.77,2.13,0.78,-2.30,2.18,-1.75,0.71,-1.79,-0.10,1.27,0.04,-0.79,3.52,EX_TROU
-0.18,0.22,0.10,-0.10,-0.04,-0.11,0.03,-0.04,-0.37,-0.61,-0.15,0.12,-1.03,-2.07,0.96,NOT_EX
-0.61,-0.15,0.12,-1.03,-2.07,0.96,-1.77,-3.30,0.07,-0.20,2.91,-0.57,0.56,2.16,0.06,NOT_EX
-1.77,-3.30,0.07,-0.20,2.91,-0.57,0.56,2.16,0.06,-1.21,1.70,1.91,0.80,-0.11,-0.10,NOT_EX
0.56,2.16,0.06,-1.21,1.70,1.91,0.80,-0.11,-0.10,0.35,0.03,-0.23,-0.17,-1.22,0.31,NOT_EX
0.35,0.03,-0.23,-0.17,-1.22,0.31,0.42,-5.49,0.45,-0.54,3.95,-0.36,0.56,1.49,-0.04,NOT_EX
0.42,-5.49,0.45,-0.54,3.95,-0.36,0.56,1.49,-0.04,0.08,-0.16,0.92,-1.59,-0.04,-0.43,NOT_EX
0.08,-0.16,0.92,-1.59,-0.04,-0.43,-0.14,-0.11,-0.02,-0.03,-0.12,-0.00,-0.31,-2.55,0.58,NOT_EX
-0.14,-0.11,-0.02,-0.03,-0.12,-0.00,-0.31,-2.55,0.58,0.88,-4.90,-0.48,-0.70,2.81,-0.02,NOT_EX
0.88,-4.90,-0.48,-0.70,2.81,-0.02,0.07,1.04,1.16,-2.16,-0.33,-0.36,-3.46,0.05,-0.17,NOT_EX
0.07,1.04,1.16,-2.16,-0.33,-0.36,-3.46,0.05,-0.17,-0.19,-0.06,0.03,-0.58,-0.38,-0.26,NOT_EX
-0.19,-0.06,0.03,-0.58,-0.38,-0.26,-0.81,-0.55,-0.06,-4.52,0.98,-5.77,-0.85,0.83,-4.39,NOT_EX
-0.81,-0.55,-0.06,-4.52,0.98,-5.77,-0.85,0.83,-4.39,-0.54,-0.20,-1.77,0.02,0.19,-0.80,NOT_EX
-0.54,-0.20,-1.77,0.02,0.19,-0.80,-1.00,-0.40,-1.15,2.15,1.24,-0.79,-0.82,-0.08,0.05,NOT_EX
2.15,1.24,-0.79,-0.82,-0.08,0.05,-0.84,-0.06,-0.31,0.20,0.04,-0.39,-0.11,-0.82,0.05,NOT_EX
-0.84,-0.06,-0.31,0.20,0.04,-0.39,-0.11,-0.82,0.05,0.47,-4.72,-1.24,-0.89,2.72,0.48,NOT_EX
0.47,-4.72,-1.24,-0.89,2.72,0.48,0.82,1.75,-0.24,-0.58,-1.37,-0.83,-0.77,0.24,-0.07,NOT_EX
0.82,1.75,-0.24,-0.58,-1.37,-0.83,-0.77,0.24,-0.07,0.26,0.04,-0.24,-0.25,-1.42,0.19,NOT_EX
0.26,0.04,-0.24,-0.25,-1.42,0.19,1.41,-6.25,-1.01,-0.36,3.73,-1.88,0.90,2.13,2.45,NOT_EX
1.41,-6.25,-1.01,-0.36,3.73,-1.88,0.90,2.13,2.45,-0.39,3.77,1.62,0.09,-0.08,-0.07,NOT_EX
0.90,2.13,2.45,-0.39,3.77,1.62,0.09,-0.08,-0.07,-0.11,-0.15,-0.08,-0.55,-1.96,0.46,NOT_EX
-0.11,-0.15,-0.08,-0.55,-1.96,0.46,-1.60,-1.76,0.33,-1.23,3.24,-0.98,2.10,0.95,-1.78,NOT_EX
